scenario_id,family_id,region_label,row_count,identifier_width,match_rate,seed,policy_id,allow_raw_join,allow_raw_materialization,legal_candidate_count,legal_candidates,oracle_fastest_legal_variant,practical_classification,near_optimal_variants,winner_latency_ms,unconstrained_fastest_latency_ms,governance_overhead_percent,selected_raw_join_rows,selected_raw_materialized_rows,selected_masked_materialized_rows,selected_candidate_is_legal
stable-early-n200000-w128-m1000-s1888,n200000-w128-m1000,phase2l_stable_early,200000,128,1.0,1888,no_raw_join,False,False,1,early_hash_materialized,early_hash_materialized,single_legal_candidate,early_hash_materialized,673.9125000312924,469.9742999509908,43.393479196962126,0,0,200000,True
stable-early-n200000-w128-m1000-s1999,n200000-w128-m1000,phase2l_stable_early,200000,128,1.0,1999,raw_permissive,True,True,4,early_hash_materialized|late_fused|late_hash_materialized|late_join_materialized,late_join_materialized,late_join_materialized,late_join_materialized,470.1046999543905,470.1046999543905,0.0,200000,200000,0,True
stable-early-n200000-w128-m1000-s1999,n200000-w128-m1000,phase2l_stable_early,200000,128,1.0,1999,no_raw_materialization,True,False,3,early_hash_materialized|late_fused|late_hash_materialized,late_hash_materialized,tie,late_hash_materialized|early_hash_materialized,525.1362000126392,470.1046999543905,11.706222052999626,200000,0,200000,True
stable-early-n200000-w128-m1000-s1999,n200000-w128-m1000,phase2l_stable_early,200000,128,1.0,1999,no_raw_join,False,False,1,early_hash_materialized,early_hash_materialized,single_legal_candidate,early_hash_materialized,526.9789999583736,470.1046999543905,12.098219824115986,0,0,200000,True
stable-early-n200000-w128-m1000-s2111,n200000-w128-m1000,phase2l_stable_early,200000,128,1.0,2111,raw_permissive,True,True,4,early_hash_materialized|late_fused|late_hash_materialized|late_join_materialized,late_join_materialized,late_join_materialized,late_join_materialized,434.26190002355725,434.26190002355725,0.0,200000,200000,0,True
stable-early-n200000-w128-m1000-s2111,n200000-w128-m1000,phase2l_stable_early,200000,128,1.0,2111,no_raw_materialization,True,False,3,early_hash_materialized|late_fused|late_hash_materialized,early_hash_materialized,early_hash_materialized,early_hash_materialized,508.9532000129111,434.26190002355725,17.199597750873874,0,0,200000,True
stable-early-n200000-w128-m1000-s2111,n200000-w128-m1000,phase2l_stable_early,200000,128,1.0,2111,no_raw_join,False,False,1,early_hash_materialized,early_hash_materialized,single_legal_candidate,early_hash_materialized,508.9532000129111,434.26190002355725,17.199597750873874,0,0,200000,True
stable-early-n200000-w128-m1000-s2222,n200000-w128-m1000,phase2l_stable_early,200000,128,1.0,2222,raw_permissive,True,True,4,early_hash_materialized|late_fused|late_hash_materialized|late_join_materialized,late_join_materialized,late_join_materialized,late_join_materialized,445.87540003703907,445.87540003703907,0.0,200000,200000,0,True
stable-early-n200000-w128-m1000-s2222,n200000-w128-m1000,phase2l_stable_early,200000,128,1.0,2222,no_raw_materialization,True,False,3,early_hash_materialized|late_fused|late_hash_materialized,early_hash_materialized,early_hash_materialized,early_hash_materialized,567.1236999914981,445.87540003703907,27.193314532352964,0,0,200000,True
stable-early-n200000-w128-m1000-s2222,n200000-w128-m1000,phase2l_stable_early,200000,128,1.0,2222,no_raw_join,False,False,1,early_hash_materialized,early_hash_materialized,single_legal_candidate,early_hash_materialized,567.1236999914981,445.87540003703907,27.193314532352964,0,0,200000,True
stable-late-n100000-w512-m0900-s1777,n100000-w512-m0900,phase2l_stable_late,100000,512,0.9,1777,raw_permissive,True,True,4,early_hash_materialized|late_fused|late_hash_materialized|late_join_materialized,late_join_materialized,late_join_materialized,late_join_materialized,355.58380000293255,355.58380000293255,0.0,100000,90000,0,True
stable-late-n100000-w512-m0900-s1777,n100000-w512-m0900,phase2l_stable_late,100000,512,0.9,1777,no_raw_materialization,True,False,3,early_hash_materialized|late_fused|late_hash_materialized,late_hash_materialized,late_hash_materialized,late_hash_materialized,649.6472000144422,355.58380000293255,82.698761869659,100000,0,90000,True
stable-late-n100000-w512-m0900-s1777,n100000-w512-m0900,phase2l_stable_late,100000,512,0.9,1777,no_raw_join,False,False,1,early_hash_materialized,early_hash_materialized,single_legal_candidate,early_hash_materialized,791.6114000254311,355.58380000293255,122.62302163903489,0,0,100000,True
stable-late-n100000-w512-m0900-s1888,n100000-w512-m0900,phase2l_stable_late,100000,512,0.9,1888,raw_permissive,True,True,4,early_hash_materialized|late_fused|late_hash_materialized|late_join_materialized,late_join_materialized,late_join_materialized,late_join_materialized,415.88500002399087,415.88500002399087,0.0,100000,90000,0,True
stable-late-n100000-w512-m0900-s1888,n100000-w512-m0900,phase2l_stable_late,100000,512,0.9,1888,no_raw_materialization,True,False,3,early_hash_materialized|late_fused|late_hash_materialized,late_hash_materialized,tie,late_hash_materialized|late_fused,864.0240000095218,415.88500002399087,107.75550932581832,100000,0,90000,True
stable-late-n100000-w512-m0900-s1888,n100000-w512-m0900,phase2l_stable_late,100000,512,0.9,1888,no_raw_join,False,False,1,early_hash_materialized,early_hash_materialized,single_legal_candidate,early_hash_materialized,965.1985000236891,415.88500002399087,132.083027752386,0,0,100000,True
stable-late-n100000-w512-m0900-s1999,n100000-w512-m0900,phase2l_stable_late,100000,512,0.9,1999,raw_permissive,True,True,4,early_hash_materialized|late_fused|late_hash_materialized|late_join_materialized,late_join_materialized,late_join_materialized,late_join_materialized,350.7695000153035,350.7695000153035,0.0,100000,90000,0,True
stable-late-n100000-w512-m0900-s1999,n100000-w512-m0900,phase2l_stable_late,100000,512,0.9,1999,no_raw_materialization,True,False,3,early_hash_materialized|late_fused|late_hash_materialized,late_hash_materialized,tie,late_hash_materialized|late_fused,682.4573000194505,350.7695000153035,94.56004583912683,100000,0,90000,True
stable-late-n100000-w512-m0900-s1999,n100000-w512-m0900,phase2l_stable_late,100000,512,0.9,1999,no_raw_join,False,False,1,early_hash_materialized,early_hash_materialized,single_legal_candidate,early_hash_materialized,742.0939999865368,350.7695000153035,111.56172356894211,0,0,100000,True
stable-late-n100000-w512-m0900-s2111,n100000-w512-m0900,phase2l_stable_late,100000,512,0.9,2111,raw_permissive,True,True,4,early_hash_materialized|late_fused|late_hash_materialized|late_join_materialized,late_join_materialized,late_join_materialized,late_join_materialized,303.3648999989964,303.3648999989964,0.0,100000,90000,0,True
stable-late-n100000-w512-m0900-s2111,n100000-w512-m0900,phase2l_stable_late,100000,512,0.9,2111,no_raw_materialization,True,False,3,early_hash_materialized|late_fused|late_hash_materialized,late_hash_materialized,tie,late_hash_materialized|late_fused,495.7072000252083,303.3648999989964,63.40295137204344,100000,0,90000,True
stable-late-n100000-w512-m0900-s2111,n100000-w512-m0900,phase2l_stable_late,100000,512,0.9,2111,no_raw_join,False,False,1,early_hash_materialized,early_hash_materialized,single_legal_candidate,early_hash_materialized,618.5952000087127,303.3648999989964,103.9112633039482,0,0,100000,True
stable-late-n100000-w512-m0900-s2222,n100000-w512-m0900,phase2l_stable_late,100000,512,0.9,2222,raw_permissive,True,True,4,early_hash_materialized|late_fused|late_hash_materialized|late_join_materialized,late_join_materialized,late_join_materialized,late_join_materialized,353.56610000599176,353.56610000599176,0.0,100000,90000,0,True
stable-late-n100000-w512-m0900-s2222,n100000-w512-m0900,phase2l_stable_late,100000,512,0.9,2222,no_raw_materialization,True,False,3,early_hash_materialized|late_fused|late_hash_materialized,late_hash_materialized,late_hash_materialized,late_hash_materialized,698.9810999948531,353.56610000599176,97.6946036350792,100000,0,90000,True
stable-late-n100000-w512-m0900-s2222,n100000-w512-m0900,phase2l_stable_late,100000,512,0.9,2222,no_raw_join,False,False,1,early_hash_materialized,early_hash_materialized,single_legal_candidate,early_hash_materialized,888.2440000306815,353.56610000599176,151.2243113849514,0,0,100000,True
