scenario_id,unit_id,salt,candidate_id,block_index,order_position,permutation_id,latency_ms,result_digest
p0.001-q1.000,p0.001-q1.000-s5101,5101,governed_fact_first,8,0,governed_fact_first->partial_aggregate_first->eligible_dimension_first,304.1164,fe4d80c15d217d4ab3a50c32918533f624ec36eb837306897fcc0fa762b92144
p0.001-q1.000,p0.001-q1.000-s5101,5101,partial_aggregate_first,8,1,governed_fact_first->partial_aggregate_first->eligible_dimension_first,215.9432,fe4d80c15d217d4ab3a50c32918533f624ec36eb837306897fcc0fa762b92144
p0.001-q1.000,p0.001-q1.000-s5101,5101,eligible_dimension_first,8,2,governed_fact_first->partial_aggregate_first->eligible_dimension_first,266.4445,fe4d80c15d217d4ab3a50c32918533f624ec36eb837306897fcc0fa762b92144
p0.001-q1.000,p0.001-q1.000-s5101,5101,partial_aggregate_first,9,0,partial_aggregate_first->governed_fact_first->eligible_dimension_first,277.1994,fe4d80c15d217d4ab3a50c32918533f624ec36eb837306897fcc0fa762b92144
p0.001-q1.000,p0.001-q1.000-s5101,5101,governed_fact_first,9,1,partial_aggregate_first->governed_fact_first->eligible_dimension_first,221.247,fe4d80c15d217d4ab3a50c32918533f624ec36eb837306897fcc0fa762b92144
p0.001-q1.000,p0.001-q1.000-s5101,5101,eligible_dimension_first,9,2,partial_aggregate_first->governed_fact_first->eligible_dimension_first,217.3172,fe4d80c15d217d4ab3a50c32918533f624ec36eb837306897fcc0fa762b92144
p0.001-q1.000,p0.001-q1.000-s5101,5101,partial_aggregate_first,10,0,partial_aggregate_first->eligible_dimension_first->governed_fact_first,170.9268,fe4d80c15d217d4ab3a50c32918533f624ec36eb837306897fcc0fa762b92144
p0.001-q1.000,p0.001-q1.000-s5101,5101,eligible_dimension_first,10,1,partial_aggregate_first->eligible_dimension_first->governed_fact_first,203.7835,fe4d80c15d217d4ab3a50c32918533f624ec36eb837306897fcc0fa762b92144
p0.001-q1.000,p0.001-q1.000-s5101,5101,governed_fact_first,10,2,partial_aggregate_first->eligible_dimension_first->governed_fact_first,187.3111,fe4d80c15d217d4ab3a50c32918533f624ec36eb837306897fcc0fa762b92144
p0.001-q1.000,p0.001-q1.000-s5101,5101,eligible_dimension_first,11,0,eligible_dimension_first->partial_aggregate_first->governed_fact_first,227.0674,fe4d80c15d217d4ab3a50c32918533f624ec36eb837306897fcc0fa762b92144
p0.001-q1.000,p0.001-q1.000-s5101,5101,partial_aggregate_first,11,1,eligible_dimension_first->partial_aggregate_first->governed_fact_first,163.8404,fe4d80c15d217d4ab3a50c32918533f624ec36eb837306897fcc0fa762b92144
p0.001-q1.000,p0.001-q1.000-s5101,5101,governed_fact_first,11,2,eligible_dimension_first->partial_aggregate_first->governed_fact_first,172.6017,fe4d80c15d217d4ab3a50c32918533f624ec36eb837306897fcc0fa762b92144
p0.001-q1.000,p0.001-q1.000-s5209,5209,governed_fact_first,0,0,governed_fact_first->partial_aggregate_first->eligible_dimension_first,218.1386,a039514081b4796e7d1834b7afae3deb3610b70fd89009caede47652c28407f4
p0.001-q1.000,p0.001-q1.000-s5209,5209,partial_aggregate_first,0,1,governed_fact_first->partial_aggregate_first->eligible_dimension_first,214.2678,a039514081b4796e7d1834b7afae3deb3610b70fd89009caede47652c28407f4
p0.001-q1.000,p0.001-q1.000-s5209,5209,eligible_dimension_first,0,2,governed_fact_first->partial_aggregate_first->eligible_dimension_first,212.8544,a039514081b4796e7d1834b7afae3deb3610b70fd89009caede47652c28407f4
p0.001-q1.000,p0.001-q1.000-s5209,5209,partial_aggregate_first,1,0,partial_aggregate_first->eligible_dimension_first->governed_fact_first,162.2198,a039514081b4796e7d1834b7afae3deb3610b70fd89009caede47652c28407f4
p0.001-q1.000,p0.001-q1.000-s5209,5209,eligible_dimension_first,1,1,partial_aggregate_first->eligible_dimension_first->governed_fact_first,191.6214,a039514081b4796e7d1834b7afae3deb3610b70fd89009caede47652c28407f4
p0.001-q1.000,p0.001-q1.000-s5209,5209,governed_fact_first,1,2,partial_aggregate_first->eligible_dimension_first->governed_fact_first,187.1448,a039514081b4796e7d1834b7afae3deb3610b70fd89009caede47652c28407f4
p0.001-q1.000,p0.001-q1.000-s5209,5209,partial_aggregate_first,2,0,partial_aggregate_first->eligible_dimension_first->governed_fact_first,180.1382,a039514081b4796e7d1834b7afae3deb3610b70fd89009caede47652c28407f4
p0.001-q1.000,p0.001-q1.000-s5209,5209,eligible_dimension_first,2,1,partial_aggregate_first->eligible_dimension_first->governed_fact_first,199.1257,a039514081b4796e7d1834b7afae3deb3610b70fd89009caede47652c28407f4
p0.001-q1.000,p0.001-q1.000-s5209,5209,governed_fact_first,2,2,partial_aggregate_first->eligible_dimension_first->governed_fact_first,165.2604,a039514081b4796e7d1834b7afae3deb3610b70fd89009caede47652c28407f4
p0.001-q1.000,p0.001-q1.000-s5209,5209,governed_fact_first,3,0,governed_fact_first->eligible_dimension_first->partial_aggregate_first,172.8755,a039514081b4796e7d1834b7afae3deb3610b70fd89009caede47652c28407f4
p0.001-q1.000,p0.001-q1.000-s5209,5209,eligible_dimension_first,3,1,governed_fact_first->eligible_dimension_first->partial_aggregate_first,199.4314,a039514081b4796e7d1834b7afae3deb3610b70fd89009caede47652c28407f4
p0.001-q1.000,p0.001-q1.000-s5209,5209,partial_aggregate_first,3,2,governed_fact_first->eligible_dimension_first->partial_aggregate_first,169.4166,a039514081b4796e7d1834b7afae3deb3610b70fd89009caede47652c28407f4
p0.001-q1.000,p0.001-q1.000-s5209,5209,governed_fact_first,4,0,governed_fact_first->eligible_dimension_first->partial_aggregate_first,190.8574,a039514081b4796e7d1834b7afae3deb3610b70fd89009caede47652c28407f4
p0.001-q1.000,p0.001-q1.000-s5209,5209,eligible_dimension_first,4,1,governed_fact_first->eligible_dimension_first->partial_aggregate_first,222.136,a039514081b4796e7d1834b7afae3deb3610b70fd89009caede47652c28407f4
p0.001-q1.000,p0.001-q1.000-s5209,5209,partial_aggregate_first,4,2,governed_fact_first->eligible_dimension_first->partial_aggregate_first,150.2944,a039514081b4796e7d1834b7afae3deb3610b70fd89009caede47652c28407f4
p0.001-q1.000,p0.001-q1.000-s5209,5209,partial_aggregate_first,5,0,partial_aggregate_first->governed_fact_first->eligible_dimension_first,174.956,a039514081b4796e7d1834b7afae3deb3610b70fd89009caede47652c28407f4
p0.001-q1.000,p0.001-q1.000-s5209,5209,governed_fact_first,5,1,partial_aggregate_first->governed_fact_first->eligible_dimension_first,189.9876,a039514081b4796e7d1834b7afae3deb3610b70fd89009caede47652c28407f4
p0.001-q1.000,p0.001-q1.000-s5209,5209,eligible_dimension_first,5,2,partial_aggregate_first->governed_fact_first->eligible_dimension_first,216.4372,a039514081b4796e7d1834b7afae3deb3610b70fd89009caede47652c28407f4
p0.001-q1.000,p0.001-q1.000-s5209,5209,eligible_dimension_first,6,0,eligible_dimension_first->partial_aggregate_first->governed_fact_first,201.2126,a039514081b4796e7d1834b7afae3deb3610b70fd89009caede47652c28407f4
p0.001-q1.000,p0.001-q1.000-s5209,5209,partial_aggregate_first,6,1,eligible_dimension_first->partial_aggregate_first->governed_fact_first,159.633,a039514081b4796e7d1834b7afae3deb3610b70fd89009caede47652c28407f4
p0.001-q1.000,p0.001-q1.000-s5209,5209,governed_fact_first,6,2,eligible_dimension_first->partial_aggregate_first->governed_fact_first,170.7834,a039514081b4796e7d1834b7afae3deb3610b70fd89009caede47652c28407f4
p0.001-q1.000,p0.001-q1.000-s5209,5209,governed_fact_first,7,0,governed_fact_first->partial_aggregate_first->eligible_dimension_first,170.5068,a039514081b4796e7d1834b7afae3deb3610b70fd89009caede47652c28407f4
p0.001-q1.000,p0.001-q1.000-s5209,5209,partial_aggregate_first,7,1,governed_fact_first->partial_aggregate_first->eligible_dimension_first,164.2552,a039514081b4796e7d1834b7afae3deb3610b70fd89009caede47652c28407f4
p0.001-q1.000,p0.001-q1.000-s5209,5209,eligible_dimension_first,7,2,governed_fact_first->partial_aggregate_first->eligible_dimension_first,214.5511,a039514081b4796e7d1834b7afae3deb3610b70fd89009caede47652c28407f4
p0.001-q1.000,p0.001-q1.000-s5209,5209,eligible_dimension_first,8,0,eligible_dimension_first->governed_fact_first->partial_aggregate_first,187.2206,a039514081b4796e7d1834b7afae3deb3610b70fd89009caede47652c28407f4
p0.001-q1.000,p0.001-q1.000-s5209,5209,governed_fact_first,8,1,eligible_dimension_first->governed_fact_first->partial_aggregate_first,154.2139,a039514081b4796e7d1834b7afae3deb3610b70fd89009caede47652c28407f4
p0.001-q1.000,p0.001-q1.000-s5209,5209,partial_aggregate_first,8,2,eligible_dimension_first->governed_fact_first->partial_aggregate_first,147.7486,a039514081b4796e7d1834b7afae3deb3610b70fd89009caede47652c28407f4
p0.001-q1.000,p0.001-q1.000-s5209,5209,eligible_dimension_first,9,0,eligible_dimension_first->governed_fact_first->partial_aggregate_first,185.703,a039514081b4796e7d1834b7afae3deb3610b70fd89009caede47652c28407f4
p0.001-q1.000,p0.001-q1.000-s5209,5209,governed_fact_first,9,1,eligible_dimension_first->governed_fact_first->partial_aggregate_first,176.4398,a039514081b4796e7d1834b7afae3deb3610b70fd89009caede47652c28407f4
p0.001-q1.000,p0.001-q1.000-s5209,5209,partial_aggregate_first,9,2,eligible_dimension_first->governed_fact_first->partial_aggregate_first,170.6098,a039514081b4796e7d1834b7afae3deb3610b70fd89009caede47652c28407f4
p0.001-q1.000,p0.001-q1.000-s5209,5209,eligible_dimension_first,10,0,eligible_dimension_first->partial_aggregate_first->governed_fact_first,216.0723,a039514081b4796e7d1834b7afae3deb3610b70fd89009caede47652c28407f4
p0.001-q1.000,p0.001-q1.000-s5209,5209,partial_aggregate_first,10,1,eligible_dimension_first->partial_aggregate_first->governed_fact_first,171.9912,a039514081b4796e7d1834b7afae3deb3610b70fd89009caede47652c28407f4
p0.001-q1.000,p0.001-q1.000-s5209,5209,governed_fact_first,10,2,eligible_dimension_first->partial_aggregate_first->governed_fact_first,179.4215,a039514081b4796e7d1834b7afae3deb3610b70fd89009caede47652c28407f4
p0.001-q1.000,p0.001-q1.000-s5209,5209,partial_aggregate_first,11,0,partial_aggregate_first->governed_fact_first->eligible_dimension_first,153.8356,a039514081b4796e7d1834b7afae3deb3610b70fd89009caede47652c28407f4
p0.001-q1.000,p0.001-q1.000-s5209,5209,governed_fact_first,11,1,partial_aggregate_first->governed_fact_first->eligible_dimension_first,163.5298,a039514081b4796e7d1834b7afae3deb3610b70fd89009caede47652c28407f4
p0.001-q1.000,p0.001-q1.000-s5209,5209,eligible_dimension_first,11,2,partial_aggregate_first->governed_fact_first->eligible_dimension_first,198.0767,a039514081b4796e7d1834b7afae3deb3610b70fd89009caede47652c28407f4
p0.001-q1.000,p0.001-q1.000-s5303,5303,partial_aggregate_first,0,0,partial_aggregate_first->governed_fact_first->eligible_dimension_first,160.0588,69491c3aa1ae10606b2e36cfd8d77fcd4eeb0889d0cb1c1b7c082248ccc3fe53
p0.001-q1.000,p0.001-q1.000-s5303,5303,governed_fact_first,0,1,partial_aggregate_first->governed_fact_first->eligible_dimension_first,177.0677,69491c3aa1ae10606b2e36cfd8d77fcd4eeb0889d0cb1c1b7c082248ccc3fe53
p0.001-q1.000,p0.001-q1.000-s5303,5303,eligible_dimension_first,0,2,partial_aggregate_first->governed_fact_first->eligible_dimension_first,219.1143,69491c3aa1ae10606b2e36cfd8d77fcd4eeb0889d0cb1c1b7c082248ccc3fe53
p0.001-q1.000,p0.001-q1.000-s5303,5303,governed_fact_first,1,0,governed_fact_first->eligible_dimension_first->partial_aggregate_first,204.3983,69491c3aa1ae10606b2e36cfd8d77fcd4eeb0889d0cb1c1b7c082248ccc3fe53
p0.001-q1.000,p0.001-q1.000-s5303,5303,eligible_dimension_first,1,1,governed_fact_first->eligible_dimension_first->partial_aggregate_first,280.4378,69491c3aa1ae10606b2e36cfd8d77fcd4eeb0889d0cb1c1b7c082248ccc3fe53
p0.001-q1.000,p0.001-q1.000-s5303,5303,partial_aggregate_first,1,2,governed_fact_first->eligible_dimension_first->partial_aggregate_first,166.9802,69491c3aa1ae10606b2e36cfd8d77fcd4eeb0889d0cb1c1b7c082248ccc3fe53
p0.001-q1.000,p0.001-q1.000-s5303,5303,governed_fact_first,2,0,governed_fact_first->partial_aggregate_first->eligible_dimension_first,166.3302,69491c3aa1ae10606b2e36cfd8d77fcd4eeb0889d0cb1c1b7c082248ccc3fe53
p0.001-q1.000,p0.001-q1.000-s5303,5303,partial_aggregate_first,2,1,governed_fact_first->partial_aggregate_first->eligible_dimension_first,150.9928,69491c3aa1ae10606b2e36cfd8d77fcd4eeb0889d0cb1c1b7c082248ccc3fe53
p0.001-q1.000,p0.001-q1.000-s5303,5303,eligible_dimension_first,2,2,governed_fact_first->partial_aggregate_first->eligible_dimension_first,187.2985,69491c3aa1ae10606b2e36cfd8d77fcd4eeb0889d0cb1c1b7c082248ccc3fe53
p0.001-q1.000,p0.001-q1.000-s5303,5303,partial_aggregate_first,3,0,partial_aggregate_first->eligible_dimension_first->governed_fact_first,146.123,69491c3aa1ae10606b2e36cfd8d77fcd4eeb0889d0cb1c1b7c082248ccc3fe53
p0.001-q1.000,p0.001-q1.000-s5303,5303,eligible_dimension_first,3,1,partial_aggregate_first->eligible_dimension_first->governed_fact_first,177.1575,69491c3aa1ae10606b2e36cfd8d77fcd4eeb0889d0cb1c1b7c082248ccc3fe53
p0.001-q1.000,p0.001-q1.000-s5303,5303,governed_fact_first,3,2,partial_aggregate_first->eligible_dimension_first->governed_fact_first,209.4526,69491c3aa1ae10606b2e36cfd8d77fcd4eeb0889d0cb1c1b7c082248ccc3fe53
p0.001-q1.000,p0.001-q1.000-s5303,5303,eligible_dimension_first,4,0,eligible_dimension_first->governed_fact_first->partial_aggregate_first,214.5843,69491c3aa1ae10606b2e36cfd8d77fcd4eeb0889d0cb1c1b7c082248ccc3fe53
p0.001-q1.000,p0.001-q1.000-s5303,5303,governed_fact_first,4,1,eligible_dimension_first->governed_fact_first->partial_aggregate_first,212.6607,69491c3aa1ae10606b2e36cfd8d77fcd4eeb0889d0cb1c1b7c082248ccc3fe53
p0.001-q1.000,p0.001-q1.000-s5303,5303,partial_aggregate_first,4,2,eligible_dimension_first->governed_fact_first->partial_aggregate_first,196.2124,69491c3aa1ae10606b2e36cfd8d77fcd4eeb0889d0cb1c1b7c082248ccc3fe53
p0.001-q1.000,p0.001-q1.000-s5303,5303,partial_aggregate_first,5,0,partial_aggregate_first->governed_fact_first->eligible_dimension_first,179.1041,69491c3aa1ae10606b2e36cfd8d77fcd4eeb0889d0cb1c1b7c082248ccc3fe53
p0.001-q1.000,p0.001-q1.000-s5303,5303,governed_fact_first,5,1,partial_aggregate_first->governed_fact_first->eligible_dimension_first,196.8688,69491c3aa1ae10606b2e36cfd8d77fcd4eeb0889d0cb1c1b7c082248ccc3fe53
p0.001-q1.000,p0.001-q1.000-s5303,5303,eligible_dimension_first,5,2,partial_aggregate_first->governed_fact_first->eligible_dimension_first,211.2836,69491c3aa1ae10606b2e36cfd8d77fcd4eeb0889d0cb1c1b7c082248ccc3fe53
p0.001-q1.000,p0.001-q1.000-s5303,5303,eligible_dimension_first,6,0,eligible_dimension_first->partial_aggregate_first->governed_fact_first,240.764,69491c3aa1ae10606b2e36cfd8d77fcd4eeb0889d0cb1c1b7c082248ccc3fe53
p0.001-q1.000,p0.001-q1.000-s5303,5303,partial_aggregate_first,6,1,eligible_dimension_first->partial_aggregate_first->governed_fact_first,180.8036,69491c3aa1ae10606b2e36cfd8d77fcd4eeb0889d0cb1c1b7c082248ccc3fe53
p0.001-q1.000,p0.001-q1.000-s5303,5303,governed_fact_first,6,2,eligible_dimension_first->partial_aggregate_first->governed_fact_first,166.79,69491c3aa1ae10606b2e36cfd8d77fcd4eeb0889d0cb1c1b7c082248ccc3fe53
p0.001-q1.000,p0.001-q1.000-s5303,5303,eligible_dimension_first,7,0,eligible_dimension_first->governed_fact_first->partial_aggregate_first,184.8942,69491c3aa1ae10606b2e36cfd8d77fcd4eeb0889d0cb1c1b7c082248ccc3fe53
p0.001-q1.000,p0.001-q1.000-s5303,5303,governed_fact_first,7,1,eligible_dimension_first->governed_fact_first->partial_aggregate_first,164.7362,69491c3aa1ae10606b2e36cfd8d77fcd4eeb0889d0cb1c1b7c082248ccc3fe53
