block_index,block_id,permutation_id,order_position,inner_repeat_index,candidate_id,started_at_utc,client_materialization_latency_ms,process_cpu_time_ms,output_row_count,result_digest
1,tpch-q6-block-001,materialize-after-q06-time -> fused -> materialize-after-q06-predicate,1,0,fused,2026-07-19T13:56:13.169211+00:00,126.548,453.125,1,sha256:a1aeb439b6dadb8e1b63b2a6767310d2b8aa89d387266856bc24473812d13e3c
1,tpch-q6-block-001,materialize-after-q06-time -> fused -> materialize-after-q06-predicate,1,1,fused,2026-07-19T13:56:13.295315+00:00,121.466,437.5,1,sha256:a1aeb439b6dadb8e1b63b2a6767310d2b8aa89d387266856bc24473812d13e3c
1,tpch-q6-block-001,materialize-after-q06-time -> fused -> materialize-after-q06-predicate,1,2,fused,2026-07-19T13:56:13.417574+00:00,123.2343,437.5,1,sha256:a1aeb439b6dadb8e1b63b2a6767310d2b8aa89d387266856bc24473812d13e3c
1,tpch-q6-block-001,materialize-after-q06-time -> fused -> materialize-after-q06-predicate,1,3,fused,2026-07-19T13:56:13.540575+00:00,162.604,515.625,1,sha256:a1aeb439b6dadb8e1b63b2a6767310d2b8aa89d387266856bc24473812d13e3c
1,tpch-q6-block-001,materialize-after-q06-time -> fused -> materialize-after-q06-predicate,1,4,fused,2026-07-19T13:56:13.703575+00:00,184.9998,531.25,1,sha256:a1aeb439b6dadb8e1b63b2a6767310d2b8aa89d387266856bc24473812d13e3c
1,tpch-q6-block-001,materialize-after-q06-time -> fused -> materialize-after-q06-predicate,2,0,materialize-after-q06-predicate,2026-07-19T13:56:13.887814+00:00,177.3614,593.75,1,sha256:a1aeb439b6dadb8e1b63b2a6767310d2b8aa89d387266856bc24473812d13e3c
1,tpch-q6-block-001,materialize-after-q06-time -> fused -> materialize-after-q06-predicate,2,1,materialize-after-q06-predicate,2026-07-19T13:56:14.065818+00:00,159.9967,515.625,1,sha256:a1aeb439b6dadb8e1b63b2a6767310d2b8aa89d387266856bc24473812d13e3c
1,tpch-q6-block-001,materialize-after-q06-time -> fused -> materialize-after-q06-predicate,2,2,materialize-after-q06-predicate,2026-07-19T13:56:14.226271+00:00,151.8346,562.5,1,sha256:a1aeb439b6dadb8e1b63b2a6767310d2b8aa89d387266856bc24473812d13e3c
1,tpch-q6-block-001,materialize-after-q06-time -> fused -> materialize-after-q06-predicate,2,3,materialize-after-q06-predicate,2026-07-19T13:56:14.377888+00:00,157.1896,500.0,1,sha256:a1aeb439b6dadb8e1b63b2a6767310d2b8aa89d387266856bc24473812d13e3c
1,tpch-q6-block-001,materialize-after-q06-time -> fused -> materialize-after-q06-predicate,2,4,materialize-after-q06-predicate,2026-07-19T13:56:14.534889+00:00,166.0662,609.375,1,sha256:a1aeb439b6dadb8e1b63b2a6767310d2b8aa89d387266856bc24473812d13e3c
2,tpch-q6-block-002,materialize-after-q06-time -> materialize-after-q06-predicate -> fused,0,0,materialize-after-q06-time,2026-07-19T13:56:14.704890+00:00,735.506,2640.625,1,sha256:a1aeb439b6dadb8e1b63b2a6767310d2b8aa89d387266856bc24473812d13e3c
2,tpch-q6-block-002,materialize-after-q06-time -> materialize-after-q06-predicate -> fused,0,1,materialize-after-q06-time,2026-07-19T13:56:15.441125+00:00,694.7458,2234.375,1,sha256:a1aeb439b6dadb8e1b63b2a6767310d2b8aa89d387266856bc24473812d13e3c
2,tpch-q6-block-002,materialize-after-q06-time -> materialize-after-q06-predicate -> fused,0,2,materialize-after-q06-time,2026-07-19T13:56:16.135755+00:00,652.9574,2484.375,1,sha256:a1aeb439b6dadb8e1b63b2a6767310d2b8aa89d387266856bc24473812d13e3c
2,tpch-q6-block-002,materialize-after-q06-time -> materialize-after-q06-predicate -> fused,0,3,materialize-after-q06-time,2026-07-19T13:56:16.788481+00:00,693.7024,2625.0,1,sha256:a1aeb439b6dadb8e1b63b2a6767310d2b8aa89d387266856bc24473812d13e3c
2,tpch-q6-block-002,materialize-after-q06-time -> materialize-after-q06-predicate -> fused,0,4,materialize-after-q06-time,2026-07-19T13:56:17.482630+00:00,693.4027,2468.75,1,sha256:a1aeb439b6dadb8e1b63b2a6767310d2b8aa89d387266856bc24473812d13e3c
2,tpch-q6-block-002,materialize-after-q06-time -> materialize-after-q06-predicate -> fused,1,0,materialize-after-q06-predicate,2026-07-19T13:56:18.176057+00:00,162.2296,546.875,1,sha256:a1aeb439b6dadb8e1b63b2a6767310d2b8aa89d387266856bc24473812d13e3c
2,tpch-q6-block-002,materialize-after-q06-time -> materialize-after-q06-predicate -> fused,1,1,materialize-after-q06-predicate,2026-07-19T13:56:18.338678+00:00,186.3876,562.5,1,sha256:a1aeb439b6dadb8e1b63b2a6767310d2b8aa89d387266856bc24473812d13e3c
