block_index,block_id,permutation_id,order_position,inner_repeat_index,candidate_id,started_at_utc,client_materialization_latency_ms,process_cpu_time_ms,output_row_count,result_digest
0,tpch-q6-block-000,materialize-after-q06-time -> materialize-after-q06-predicate -> fused,0,0,materialize-after-q06-time,2026-07-21T01:27:54.213819+00:00,3687.3713,14687.5,1,sha256:5b1b60f63d1b4ca4ebae6df3c42c09410a88b25d8d51e4ed15f051dbc5ac6140
0,tpch-q6-block-000,materialize-after-q06-time -> materialize-after-q06-predicate -> fused,0,1,materialize-after-q06-time,2026-07-21T01:27:57.901346+00:00,3422.6193,13593.75,1,sha256:5b1b60f63d1b4ca4ebae6df3c42c09410a88b25d8d51e4ed15f051dbc5ac6140
0,tpch-q6-block-000,materialize-after-q06-time -> materialize-after-q06-predicate -> fused,0,2,materialize-after-q06-time,2026-07-21T01:28:01.324886+00:00,3338.0513,13343.75,1,sha256:5b1b60f63d1b4ca4ebae6df3c42c09410a88b25d8d51e4ed15f051dbc5ac6140
0,tpch-q6-block-000,materialize-after-q06-time -> materialize-after-q06-predicate -> fused,0,3,materialize-after-q06-time,2026-07-21T01:28:04.663587+00:00,3424.1494,13640.625,1,sha256:5b1b60f63d1b4ca4ebae6df3c42c09410a88b25d8d51e4ed15f051dbc5ac6140
0,tpch-q6-block-000,materialize-after-q06-time -> materialize-after-q06-predicate -> fused,0,4,materialize-after-q06-time,2026-07-21T01:28:08.087550+00:00,3542.617,14156.25,1,sha256:5b1b60f63d1b4ca4ebae6df3c42c09410a88b25d8d51e4ed15f051dbc5ac6140
0,tpch-q6-block-000,materialize-after-q06-time -> materialize-after-q06-predicate -> fused,1,0,materialize-after-q06-predicate,2026-07-21T01:28:11.630383+00:00,880.8036,3453.125,1,sha256:5b1b60f63d1b4ca4ebae6df3c42c09410a88b25d8d51e4ed15f051dbc5ac6140
0,tpch-q6-block-000,materialize-after-q06-time -> materialize-after-q06-predicate -> fused,1,1,materialize-after-q06-predicate,2026-07-21T01:28:12.511672+00:00,742.8961,2953.125,1,sha256:5b1b60f63d1b4ca4ebae6df3c42c09410a88b25d8d51e4ed15f051dbc5ac6140
0,tpch-q6-block-000,materialize-after-q06-time -> materialize-after-q06-predicate -> fused,1,2,materialize-after-q06-predicate,2026-07-21T01:28:13.253971+00:00,1241.642,4500.0,1,sha256:5b1b60f63d1b4ca4ebae6df3c42c09410a88b25d8d51e4ed15f051dbc5ac6140
0,tpch-q6-block-000,materialize-after-q06-time -> materialize-after-q06-predicate -> fused,1,3,materialize-after-q06-predicate,2026-07-21T01:28:14.496510+00:00,941.034,3687.5,1,sha256:5b1b60f63d1b4ca4ebae6df3c42c09410a88b25d8d51e4ed15f051dbc5ac6140
0,tpch-q6-block-000,materialize-after-q06-time -> materialize-after-q06-predicate -> fused,1,4,materialize-after-q06-predicate,2026-07-21T01:28:15.437295+00:00,1069.6195,4046.875,1,sha256:5b1b60f63d1b4ca4ebae6df3c42c09410a88b25d8d51e4ed15f051dbc5ac6140
