scenario_id,unit_id,policy_selectivity,query_selectivity,salt,candidate_id,block_index,order_position,permutation_id,latency_ms,result_digest
p0.002-q0.900,p0.002-q0.900-s6203,0.002,0.9,6203,governed_fact_first,1,1,eligible_dimension_first->governed_fact_first->partial_aggregate_first,2059.0304,c82159b49a599548110cac43c5d732c40854554f97346bc39152d330836302a4
p0.002-q0.900,p0.002-q0.900-s6203,0.002,0.9,6203,partial_aggregate_first,1,2,eligible_dimension_first->governed_fact_first->partial_aggregate_first,1894.9913,c82159b49a599548110cac43c5d732c40854554f97346bc39152d330836302a4
p0.002-q0.900,p0.002-q0.900-s6203,0.002,0.9,6203,governed_fact_first,2,0,governed_fact_first->eligible_dimension_first->partial_aggregate_first,2006.343,c82159b49a599548110cac43c5d732c40854554f97346bc39152d330836302a4
p0.002-q0.900,p0.002-q0.900-s6203,0.002,0.9,6203,eligible_dimension_first,2,1,governed_fact_first->eligible_dimension_first->partial_aggregate_first,3507.238,c82159b49a599548110cac43c5d732c40854554f97346bc39152d330836302a4
p0.002-q0.900,p0.002-q0.900-s6203,0.002,0.9,6203,partial_aggregate_first,2,2,governed_fact_first->eligible_dimension_first->partial_aggregate_first,1824.9327,c82159b49a599548110cac43c5d732c40854554f97346bc39152d330836302a4
p0.002-q0.900,p0.002-q0.900-s6203,0.002,0.9,6203,partial_aggregate_first,3,0,partial_aggregate_first->governed_fact_first->eligible_dimension_first,2011.742,c82159b49a599548110cac43c5d732c40854554f97346bc39152d330836302a4
p0.002-q0.900,p0.002-q0.900-s6203,0.002,0.9,6203,governed_fact_first,3,1,partial_aggregate_first->governed_fact_first->eligible_dimension_first,1967.4391,c82159b49a599548110cac43c5d732c40854554f97346bc39152d330836302a4
p0.002-q0.900,p0.002-q0.900-s6203,0.002,0.9,6203,eligible_dimension_first,3,2,partial_aggregate_first->governed_fact_first->eligible_dimension_first,3372.9972,c82159b49a599548110cac43c5d732c40854554f97346bc39152d330836302a4
p0.002-q0.900,p0.002-q0.900-s6203,0.002,0.9,6203,partial_aggregate_first,4,0,partial_aggregate_first->eligible_dimension_first->governed_fact_first,1995.0622,c82159b49a599548110cac43c5d732c40854554f97346bc39152d330836302a4
p0.002-q0.900,p0.002-q0.900-s6203,0.002,0.9,6203,eligible_dimension_first,4,1,partial_aggregate_first->eligible_dimension_first->governed_fact_first,3411.163,c82159b49a599548110cac43c5d732c40854554f97346bc39152d330836302a4
p0.002-q0.900,p0.002-q0.900-s6203,0.002,0.9,6203,governed_fact_first,4,2,partial_aggregate_first->eligible_dimension_first->governed_fact_first,2128.7927,c82159b49a599548110cac43c5d732c40854554f97346bc39152d330836302a4
p0.002-q0.900,p0.002-q0.900-s6203,0.002,0.9,6203,governed_fact_first,5,0,governed_fact_first->partial_aggregate_first->eligible_dimension_first,2063.1678,c82159b49a599548110cac43c5d732c40854554f97346bc39152d330836302a4
p0.002-q0.900,p0.002-q0.900-s6203,0.002,0.9,6203,partial_aggregate_first,5,1,governed_fact_first->partial_aggregate_first->eligible_dimension_first,1918.2251,c82159b49a599548110cac43c5d732c40854554f97346bc39152d330836302a4
p0.002-q0.900,p0.002-q0.900-s6203,0.002,0.9,6203,eligible_dimension_first,5,2,governed_fact_first->partial_aggregate_first->eligible_dimension_first,3450.2392,c82159b49a599548110cac43c5d732c40854554f97346bc39152d330836302a4
p0.002-q0.900,p0.002-q0.900-s6301,0.002,0.9,6301,governed_fact_first,0,0,governed_fact_first->eligible_dimension_first->partial_aggregate_first,2386.8641,3f278c2ca74833d8729a1eadbc51824071359eaec0012084c40b19d2dcc1eaf0
p0.002-q0.900,p0.002-q0.900-s6301,0.002,0.9,6301,eligible_dimension_first,0,1,governed_fact_first->eligible_dimension_first->partial_aggregate_first,3698.0552,3f278c2ca74833d8729a1eadbc51824071359eaec0012084c40b19d2dcc1eaf0
p0.002-q0.900,p0.002-q0.900-s6301,0.002,0.9,6301,partial_aggregate_first,0,2,governed_fact_first->eligible_dimension_first->partial_aggregate_first,2083.8352,3f278c2ca74833d8729a1eadbc51824071359eaec0012084c40b19d2dcc1eaf0
p0.002-q0.900,p0.002-q0.900-s6301,0.002,0.9,6301,eligible_dimension_first,1,0,eligible_dimension_first->governed_fact_first->partial_aggregate_first,3783.017,3f278c2ca74833d8729a1eadbc51824071359eaec0012084c40b19d2dcc1eaf0
p0.002-q0.900,p0.002-q0.900-s6301,0.002,0.9,6301,governed_fact_first,1,1,eligible_dimension_first->governed_fact_first->partial_aggregate_first,2318.8744,3f278c2ca74833d8729a1eadbc51824071359eaec0012084c40b19d2dcc1eaf0
p0.002-q0.900,p0.002-q0.900-s6301,0.002,0.9,6301,partial_aggregate_first,1,2,eligible_dimension_first->governed_fact_first->partial_aggregate_first,2125.792,3f278c2ca74833d8729a1eadbc51824071359eaec0012084c40b19d2dcc1eaf0
p0.002-q0.900,p0.002-q0.900-s6301,0.002,0.9,6301,governed_fact_first,2,0,governed_fact_first->partial_aggregate_first->eligible_dimension_first,2325.5348,3f278c2ca74833d8729a1eadbc51824071359eaec0012084c40b19d2dcc1eaf0
p0.002-q0.900,p0.002-q0.900-s6301,0.002,0.9,6301,partial_aggregate_first,2,1,governed_fact_first->partial_aggregate_first->eligible_dimension_first,2316.0523,3f278c2ca74833d8729a1eadbc51824071359eaec0012084c40b19d2dcc1eaf0
p0.002-q0.900,p0.002-q0.900-s6301,0.002,0.9,6301,eligible_dimension_first,2,2,governed_fact_first->partial_aggregate_first->eligible_dimension_first,3825.6308,3f278c2ca74833d8729a1eadbc51824071359eaec0012084c40b19d2dcc1eaf0
p0.002-q0.900,p0.002-q0.900-s6301,0.002,0.9,6301,partial_aggregate_first,3,0,partial_aggregate_first->eligible_dimension_first->governed_fact_first,2199.4997,3f278c2ca74833d8729a1eadbc51824071359eaec0012084c40b19d2dcc1eaf0
p0.002-q0.900,p0.002-q0.900-s6301,0.002,0.9,6301,eligible_dimension_first,3,1,partial_aggregate_first->eligible_dimension_first->governed_fact_first,3996.9658,3f278c2ca74833d8729a1eadbc51824071359eaec0012084c40b19d2dcc1eaf0
p0.002-q0.900,p0.002-q0.900-s6301,0.002,0.9,6301,governed_fact_first,3,2,partial_aggregate_first->eligible_dimension_first->governed_fact_first,2397.9664,3f278c2ca74833d8729a1eadbc51824071359eaec0012084c40b19d2dcc1eaf0
p0.002-q0.900,p0.002-q0.900-s6301,0.002,0.9,6301,partial_aggregate_first,4,0,partial_aggregate_first->governed_fact_first->eligible_dimension_first,2189.8508,3f278c2ca74833d8729a1eadbc51824071359eaec0012084c40b19d2dcc1eaf0
p0.002-q0.900,p0.002-q0.900-s6301,0.002,0.9,6301,governed_fact_first,4,1,partial_aggregate_first->governed_fact_first->eligible_dimension_first,2387.1406,3f278c2ca74833d8729a1eadbc51824071359eaec0012084c40b19d2dcc1eaf0
p0.002-q0.900,p0.002-q0.900-s6301,0.002,0.9,6301,eligible_dimension_first,4,2,partial_aggregate_first->governed_fact_first->eligible_dimension_first,3843.3983,3f278c2ca74833d8729a1eadbc51824071359eaec0012084c40b19d2dcc1eaf0
p0.002-q0.900,p0.002-q0.900-s6301,0.002,0.9,6301,eligible_dimension_first,5,0,eligible_dimension_first->partial_aggregate_first->governed_fact_first,3890.0172,3f278c2ca74833d8729a1eadbc51824071359eaec0012084c40b19d2dcc1eaf0
p0.002-q0.900,p0.002-q0.900-s6301,0.002,0.9,6301,partial_aggregate_first,5,1,eligible_dimension_first->partial_aggregate_first->governed_fact_first,2247.4623,3f278c2ca74833d8729a1eadbc51824071359eaec0012084c40b19d2dcc1eaf0
