block_index,block_id,permutation_id,order_position,candidate_id,approved_strategy_id,started_at_utc,client_materialization_latency_ms,process_cpu_time_ms,output_row_count,semantic_result_digest
10,mask-join-block-010,early_mask_before_join -> late_mask_fused,0,early_mask_before_join,place-002-mask-after-bts-mp-project,2026-07-19T05:24:25.921183+00:00,756.4213,812.5,106251,sha256:b0ffdee90ec524b757ff5d2bcc7553fdb6f2088e1a3711fde87d52603b9a98e1
10,mask-join-block-010,early_mask_before_join -> late_mask_fused,1,late_mask_fused,fused,2026-07-19T05:24:27.555075+00:00,651.3803,687.5,106251,sha256:b0ffdee90ec524b757ff5d2bcc7553fdb6f2088e1a3711fde87d52603b9a98e1
11,mask-join-block-011,late_mask_fused -> early_mask_before_join,0,late_mask_fused,fused,2026-07-19T05:24:29.123295+00:00,1082.6348,1156.25,106251,sha256:b0ffdee90ec524b757ff5d2bcc7553fdb6f2088e1a3711fde87d52603b9a98e1
11,mask-join-block-011,late_mask_fused -> early_mask_before_join,1,early_mask_before_join,place-002-mask-after-bts-mp-project,2026-07-19T05:24:31.834066+00:00,977.319,921.875,106251,sha256:b0ffdee90ec524b757ff5d2bcc7553fdb6f2088e1a3711fde87d52603b9a98e1
12,mask-join-block-012,late_mask_fused -> early_mask_before_join,0,late_mask_fused,fused,2026-07-19T05:24:34.055648+00:00,981.7759,953.125,106251,sha256:b0ffdee90ec524b757ff5d2bcc7553fdb6f2088e1a3711fde87d52603b9a98e1
12,mask-join-block-012,late_mask_fused -> early_mask_before_join,1,early_mask_before_join,place-002-mask-after-bts-mp-project,2026-07-19T05:24:36.356819+00:00,940.2016,1015.625,106251,sha256:b0ffdee90ec524b757ff5d2bcc7553fdb6f2088e1a3711fde87d52603b9a98e1
13,mask-join-block-013,early_mask_before_join -> late_mask_fused,0,early_mask_before_join,place-002-mask-after-bts-mp-project,2026-07-19T05:24:38.275702+00:00,736.5189,812.5,106251,sha256:b0ffdee90ec524b757ff5d2bcc7553fdb6f2088e1a3711fde87d52603b9a98e1
13,mask-join-block-013,early_mask_before_join -> late_mask_fused,1,late_mask_fused,fused,2026-07-19T05:24:39.970088+00:00,791.5307,921.875,106251,sha256:b0ffdee90ec524b757ff5d2bcc7553fdb6f2088e1a3711fde87d52603b9a98e1
14,mask-join-block-014,early_mask_before_join -> late_mask_fused,0,early_mask_before_join,place-002-mask-after-bts-mp-project,2026-07-19T05:24:41.720737+00:00,700.8651,765.625,106251,sha256:b0ffdee90ec524b757ff5d2bcc7553fdb6f2088e1a3711fde87d52603b9a98e1
14,mask-join-block-014,early_mask_before_join -> late_mask_fused,1,late_mask_fused,fused,2026-07-19T05:24:43.367255+00:00,779.1137,796.875,106251,sha256:b0ffdee90ec524b757ff5d2bcc7553fdb6f2088e1a3711fde87d52603b9a98e1
15,mask-join-block-015,late_mask_fused -> early_mask_before_join,0,late_mask_fused,fused,2026-07-19T05:24:45.067391+00:00,601.9943,671.875,106251,sha256:b0ffdee90ec524b757ff5d2bcc7553fdb6f2088e1a3711fde87d52603b9a98e1
15,mask-join-block-015,late_mask_fused -> early_mask_before_join,1,early_mask_before_join,place-002-mask-after-bts-mp-project,2026-07-19T05:24:46.465803+00:00,557.5935,593.75,106251,sha256:b0ffdee90ec524b757ff5d2bcc7553fdb6f2088e1a3711fde87d52603b9a98e1
16,mask-join-block-016,early_mask_before_join -> late_mask_fused,0,early_mask_before_join,place-002-mask-after-bts-mp-project,2026-07-19T05:24:48.239269+00:00,1043.6199,1109.375,106251,sha256:b0ffdee90ec524b757ff5d2bcc7553fdb6f2088e1a3711fde87d52603b9a98e1
16,mask-join-block-016,early_mask_before_join -> late_mask_fused,1,late_mask_fused,fused,2026-07-19T05:24:50.557176+00:00,963.9965,1062.5,106251,sha256:b0ffdee90ec524b757ff5d2bcc7553fdb6f2088e1a3711fde87d52603b9a98e1
17,mask-join-block-017,late_mask_fused -> early_mask_before_join,0,late_mask_fused,fused,2026-07-19T05:24:52.861078+00:00,1060.0661,1046.875,106251,sha256:b0ffdee90ec524b757ff5d2bcc7553fdb6f2088e1a3711fde87d52603b9a98e1
17,mask-join-block-017,late_mask_fused -> early_mask_before_join,1,early_mask_before_join,place-002-mask-after-bts-mp-project,2026-07-19T05:24:54.997748+00:00,701.3811,750.0,106251,sha256:b0ffdee90ec524b757ff5d2bcc7553fdb6f2088e1a3711fde87d52603b9a98e1
18,mask-join-block-018,late_mask_fused -> early_mask_before_join,0,late_mask_fused,fused,2026-07-19T05:24:56.681498+00:00,738.0832,812.5,106251,sha256:b0ffdee90ec524b757ff5d2bcc7553fdb6f2088e1a3711fde87d52603b9a98e1
18,mask-join-block-018,late_mask_fused -> early_mask_before_join,1,early_mask_before_join,place-002-mask-after-bts-mp-project,2026-07-19T05:24:58.482192+00:00,696.8793,796.875,106251,sha256:b0ffdee90ec524b757ff5d2bcc7553fdb6f2088e1a3711fde87d52603b9a98e1
19,mask-join-block-019,early_mask_before_join -> late_mask_fused,0,early_mask_before_join,place-002-mask-after-bts-mp-project,2026-07-19T05:24:59.940033+00:00,692.5764,765.625,106251,sha256:b0ffdee90ec524b757ff5d2bcc7553fdb6f2088e1a3711fde87d52603b9a98e1
19,mask-join-block-019,early_mask_before_join -> late_mask_fused,1,late_mask_fused,fused,2026-07-19T05:25:01.647637+00:00,812.2927,843.75,106251,sha256:b0ffdee90ec524b757ff5d2bcc7553fdb6f2088e1a3711fde87d52603b9a98e1
20,mask-join-block-020,late_mask_fused -> early_mask_before_join,0,late_mask_fused,fused,2026-07-19T05:25:03.329032+00:00,696.6539,734.375,106251,sha256:b0ffdee90ec524b757ff5d2bcc7553fdb6f2088e1a3711fde87d52603b9a98e1
20,mask-join-block-020,late_mask_fused -> early_mask_before_join,1,early_mask_before_join,place-002-mask-after-bts-mp-project,2026-07-19T05:25:05.046830+00:00,766.9228,812.5,106251,sha256:b0ffdee90ec524b757ff5d2bcc7553fdb6f2088e1a3711fde87d52603b9a98e1
21,mask-join-block-021,early_mask_before_join -> late_mask_fused,0,early_mask_before_join,place-002-mask-after-bts-mp-project,2026-07-19T05:25:06.611552+00:00,633.3245,796.875,106251,sha256:b0ffdee90ec524b757ff5d2bcc7553fdb6f2088e1a3711fde87d52603b9a98e1
21,mask-join-block-021,early_mask_before_join -> late_mask_fused,1,late_mask_fused,fused,2026-07-19T05:25:08.041376+00:00,769.7504,843.75,106251,sha256:b0ffdee90ec524b757ff5d2bcc7553fdb6f2088e1a3711fde87d52603b9a98e1
22,mask-join-block-022,late_mask_fused -> early_mask_before_join,0,late_mask_fused,fused,2026-07-19T05:25:09.820260+00:00,707.1135,703.125,106251,sha256:b0ffdee90ec524b757ff5d2bcc7553fdb6f2088e1a3711fde87d52603b9a98e1
22,mask-join-block-022,late_mask_fused -> early_mask_before_join,1,early_mask_before_join,place-002-mask-after-bts-mp-project,2026-07-19T05:25:11.480968+00:00,927.4958,1062.5,106251,sha256:b0ffdee90ec524b757ff5d2bcc7553fdb6f2088e1a3711fde87d52603b9a98e1
23,mask-join-block-023,early_mask_before_join -> late_mask_fused,0,early_mask_before_join,place-002-mask-after-bts-mp-project,2026-07-19T05:25:13.362735+00:00,709.1599,859.375,106251,sha256:b0ffdee90ec524b757ff5d2bcc7553fdb6f2088e1a3711fde87d52603b9a98e1
23,mask-join-block-023,early_mask_before_join -> late_mask_fused,1,late_mask_fused,fused,2026-07-19T05:25:14.858420+00:00,738.0074,843.75,106251,sha256:b0ffdee90ec524b757ff5d2bcc7553fdb6f2088e1a3711fde87d52603b9a98e1
24,mask-join-block-024,late_mask_fused -> early_mask_before_join,0,late_mask_fused,fused,2026-07-19T05:25:16.735801+00:00,1143.1144,1125.0,106251,sha256:b0ffdee90ec524b757ff5d2bcc7553fdb6f2088e1a3711fde87d52603b9a98e1
24,mask-join-block-024,late_mask_fused -> early_mask_before_join,1,early_mask_before_join,place-002-mask-after-bts-mp-project,2026-07-19T05:25:19.428297+00:00,1147.3145,1093.75,106251,sha256:b0ffdee90ec524b757ff5d2bcc7553fdb6f2088e1a3711fde87d52603b9a98e1
25,mask-join-block-025,early_mask_before_join -> late_mask_fused,0,early_mask_before_join,place-002-mask-after-bts-mp-project,2026-07-19T05:25:21.926754+00:00,1161.0112,1156.25,106251,sha256:b0ffdee90ec524b757ff5d2bcc7553fdb6f2088e1a3711fde87d52603b9a98e1
25,mask-join-block-025,early_mask_before_join -> late_mask_fused,1,late_mask_fused,fused,2026-07-19T05:25:24.484450+00:00,1054.06,1031.25,106251,sha256:b0ffdee90ec524b757ff5d2bcc7553fdb6f2088e1a3711fde87d52603b9a98e1
26,mask-join-block-026,late_mask_fused -> early_mask_before_join,0,late_mask_fused,fused,2026-07-19T05:25:26.391486+00:00,863.5009,921.875,106251,sha256:b0ffdee90ec524b757ff5d2bcc7553fdb6f2088e1a3711fde87d52603b9a98e1
26,mask-join-block-026,late_mask_fused -> early_mask_before_join,1,early_mask_before_join,place-002-mask-after-bts-mp-project,2026-07-19T05:25:28.403748+00:00,1050.8772,1062.5,106251,sha256:b0ffdee90ec524b757ff5d2bcc7553fdb6f2088e1a3711fde87d52603b9a98e1
27,mask-join-block-027,early_mask_before_join -> late_mask_fused,0,early_mask_before_join,place-002-mask-after-bts-mp-project,2026-07-19T05:25:30.796787+00:00,1049.3906,1156.25,106251,sha256:b0ffdee90ec524b757ff5d2bcc7553fdb6f2088e1a3711fde87d52603b9a98e1
27,mask-join-block-027,early_mask_before_join -> late_mask_fused,1,late_mask_fused,fused,2026-07-19T05:25:33.123555+00:00,958.3906,1000.0,106251,sha256:b0ffdee90ec524b757ff5d2bcc7553fdb6f2088e1a3711fde87d52603b9a98e1
28,mask-join-block-028,early_mask_before_join -> late_mask_fused,0,early_mask_before_join,place-002-mask-after-bts-mp-project,2026-07-19T05:25:35.318648+00:00,934.8405,1031.25,106251,sha256:b0ffdee90ec524b757ff5d2bcc7553fdb6f2088e1a3711fde87d52603b9a98e1
28,mask-join-block-028,early_mask_before_join -> late_mask_fused,1,late_mask_fused,fused,2026-07-19T05:25:37.413602+00:00,905.2608,1031.25,106251,sha256:b0ffdee90ec524b757ff5d2bcc7553fdb6f2088e1a3711fde87d52603b9a98e1
29,mask-join-block-029,late_mask_fused -> early_mask_before_join,0,late_mask_fused,fused,2026-07-19T05:25:39.099123+00:00,622.6642,718.75,106251,sha256:b0ffdee90ec524b757ff5d2bcc7553fdb6f2088e1a3711fde87d52603b9a98e1
29,mask-join-block-029,late_mask_fused -> early_mask_before_join,1,early_mask_before_join,place-002-mask-after-bts-mp-project,2026-07-19T05:25:40.605363+00:00,738.0589,750.0,106251,sha256:b0ffdee90ec524b757ff5d2bcc7553fdb6f2088e1a3711fde87d52603b9a98e1
