family_id,row_count,identifier_width,match_rate,seed,early_median_latency_ms,late_median_latency_ms,early_minus_late_percent,classification,winner_speedup_ratio,tie_threshold_fraction
n100000-w128-m0900,100000,128,0.9,1111,466.1919999634847,412.4539000331424,13.028874239284495,late,1.130288742392845,0.03
n100000-w128-m0900,100000,128,0.9,1222,464.82639998430386,457.3048999882303,1.6447451134389945,tie,1.01644745113439,0.03
n100000-w128-m0900,100000,128,0.9,1333,541.244900028687,517.4502999871038,4.598431973500872,late,1.0459843197350087,0.03
n100000-w128-m0900,100000,128,0.9,1444,442.4773000064306,453.6674999981187,-2.4666082520203747,tie,1.0252898849082779,0.03
n100000-w128-m0900,100000,128,0.9,1555,462.7727000042796,434.67270000837743,6.464634193810803,late,1.064646341938108,0.03
n100000-w128-m1000,100000,128,1.0,1111,476.53270000591874,502.2012999979779,-5.111217352914565,early,1.0538653485725962,0.03
n100000-w128-m1000,100000,128,1.0,1222,448.72689998010173,463.2740000379272,-3.1400639916409068,early,1.0324186048540227,0.03
n100000-w128-m1000,100000,128,1.0,1333,476.0322999791242,498.86829999741167,-4.577560854920215,early,1.047971534745203,0.03
n100000-w128-m1000,100000,128,1.0,1444,480.7791000348516,468.9545000437647,2.5214812929577057,tie,1.025214812929577,0.03
n100000-w128-m1000,100000,128,1.0,1555,442.5107999704778,462.20790001098067,-4.261523881360507,early,1.044512134035637,0.03
n100000-w256-m0900,100000,256,0.9,1111,602.6782999979332,573.2182000065222,5.139421600897487,late,1.0513942160089749,0.03
n100000-w256-m0900,100000,256,0.9,1222,628.3371999743395,587.6437000115402,6.924859393881033,late,1.0692485939388103,0.03
n100000-w256-m0900,100000,256,0.9,1333,606.3972000265494,562.9049999988638,7.726383675357895,late,1.077263836753579,0.03
n100000-w256-m0900,100000,256,0.9,1444,636.4769000210799,564.4229999743402,12.765939738461295,late,1.127659397384613,0.03
n100000-w256-m0900,100000,256,0.9,1555,639.2394999857061,699.1055000107735,-8.5632283001843,early,1.0936519098497608,0.03
n100000-w256-m1000,100000,256,1.0,1111,626.7233999678865,655.4687999887392,-4.385471897571103,early,1.0458661668326499,0.03
n100000-w256-m1000,100000,256,1.0,1222,621.8735000002198,636.2467999570072,-2.2590761883216737,tie,1.023112899901318,0.03
n100000-w256-m1000,100000,256,1.0,1333,772.2420000354759,743.733000010252,3.8332304771780956,late,1.038332304771781,0.03
n100000-w256-m1000,100000,256,1.0,1444,643.4798000263982,624.3565999902785,3.062865041615237,tie,1.0306286504161524,0.03
n100000-w256-m1000,100000,256,1.0,1555,618.8675999874249,589.3885000259615,5.001641525100142,late,1.0500164152510014,0.03
n100000-w512-m0900,100000,512,0.9,1111,967.5583999487571,844.2857000045478,14.600827651533743,late,1.1460082765153374,0.03
n100000-w512-m0900,100000,512,0.9,1222,965.621099981945,877.879700041376,9.994695165685407,late,1.099946951656854,0.03
n100000-w512-m0900,100000,512,0.9,1333,958.0338000087067,857.8535999986343,11.67800659812257,late,1.1167800659812257,0.03
n100000-w512-m0900,100000,512,0.9,1444,956.0977999935858,889.6647000219673,7.467206462162457,late,1.0746720646216246,0.03
n100000-w512-m0900,100000,512,0.9,1555,961.1488999798894,841.8878000229597,14.165913789661433,late,1.1416591378966143,0.03
n100000-w512-m1000,100000,512,1.0,1111,961.0252000275068,925.9961000061594,3.782856107181698,late,1.037828561071817,0.03
n100000-w512-m1000,100000,512,1.0,1222,1094.7229000157677,1034.757899993565,5.795075352657442,late,1.0579507535265744,0.03
n100000-w512-m1000,100000,512,1.0,1333,954.4767000479624,979.1363999829628,-2.5185152891292195,tie,1.025835832277269,0.03
n100000-w512-m1000,100000,512,1.0,1444,991.522399999667,953.5198999801651,3.985496267072386,late,1.0398549626707239,0.03
n100000-w512-m1000,100000,512,1.0,1555,969.3430999759585,922.7070999913849,5.054258278169632,late,1.0505425827816963,0.03
n150000-w128-m0900,150000,128,0.9,1111,537.0957999839447,608.1625999649987,-11.685493317929119,early,1.1323168045312928,0.03
n150000-w128-m0900,150000,128,0.9,1222,563.4242999949493,630.0094000180252,-10.568905800638984,early,1.1181793188963856,0.03
n150000-w128-m0900,150000,128,0.9,1333,569.0441000042483,623.2037000008859,-8.690513229712948,early,1.0951764546829204,0.03
n150000-w128-m0900,150000,128,0.9,1444,545.7585999974981,608.32230001688,-10.284630370717284,early,1.11463621465547,0.03
n150000-w128-m0900,150000,128,0.9,1555,567.4949999665841,572.7755000116304,-0.921914440289251,tie,1.009304927876646,0.03
n150000-w128-m1000,150000,128,1.0,1111,667.59769996861,685.384799959138,-2.595199075262322,tie,1.0266434410893932,0.03
n150000-w128-m1000,150000,128,1.0,1222,656.1279999441467,625.0592999858782,4.97052039046062,late,1.0497052039046062,0.03
n150000-w128-m1000,150000,128,1.0,1333,586.8204000289552,649.9196999939159,-9.708784018325856,early,1.1075274478560173,0.03
n150000-w128-m1000,150000,128,1.0,1444,573.2516000280157,604.867700021714,-5.226944667827915,early,1.0551522228497106,0.03
n150000-w128-m1000,150000,128,1.0,1555,568.4333999524824,631.4465999603271,-9.97918113927666,early,1.1108541475801954,0.03
n150000-w256-m0900,150000,256,0.9,1111,805.1660999772139,799.0131999831647,0.7700623712072474,tie,1.0077006237120725,0.03
n150000-w256-m0900,150000,256,0.9,1222,825.7422999595292,796.0235999780707,3.7333943343234033,late,1.037333943343234,0.03
n150000-w256-m0900,150000,256,0.9,1333,815.4662000015378,823.1507999589667,-0.9335591920474284,tie,1.009423566491676,0.03
n150000-w256-m0900,150000,256,0.9,1444,807.4703000020236,840.0873999926262,-3.8825841205199496,early,1.0403941791921274,0.03
n150000-w256-m0900,150000,256,0.9,1555,777.2123999893665,764.4565000082366,1.6686233920429006,tie,1.016686233920429,0.03
n150000-w256-m1000,150000,256,1.0,1111,761.2062999978662,755.2027000347152,0.7949653732534312,tie,1.0079496537325343,0.03
n150000-w256-m1000,150000,256,1.0,1222,736.2034999532625,816.4084000163712,-9.824114997040734,early,1.1089439266020882,0.03
n150000-w256-m1000,150000,256,1.0,1333,775.4892000230029,803.9496999699622,-3.540084653060094,early,1.036700059712134,0.03
n150000-w256-m1000,150000,256,1.0,1444,782.0240000146441,792.6390999928117,-1.339209733441593,tie,1.0135738800573497,0.03
n150000-w256-m1000,150000,256,1.0,1555,817.9293999564834,831.5653000026941,-1.6397870433225825,tie,1.016671243321167,0.03
n150000-w512-m0900,150000,512,0.9,1111,1255.3818000014871,1208.270100003574,3.8991033542726594,late,1.0389910335427266,0.03
n150000-w512-m0900,150000,512,0.9,1222,1219.5235000108369,1193.3870000066236,2.1901110037287452,tie,1.0219011100372875,0.03
n150000-w512-m0900,150000,512,0.9,1333,1164.6625999710523,1141.9633000041358,1.987743386047014,tie,1.0198774338604701,0.03
n150000-w512-m0900,150000,512,0.9,1444,1199.7048999764957,1172.392199980095,2.329655553565124,tie,1.0232965555356512,0.03
n150000-w512-m0900,150000,512,0.9,1555,1231.1273000086658,1190.087000024505,3.448512586333252,late,1.0344851258633325,0.03
n150000-w512-m1000,150000,512,1.0,1111,1286.1925000324845,1186.3748999894597,8.413664183548697,late,1.084136641835487,0.03
n150000-w512-m1000,150000,512,1.0,1222,1241.6004000115208,1229.022099985741,1.0234396945283386,tie,1.0102343969452834,0.03
n150000-w512-m1000,150000,512,1.0,1333,1212.1504999813624,1207.9730000114068,0.34582726351632953,tie,1.0034582726351633,0.03
n150000-w512-m1000,150000,512,1.0,1444,1217.603600001894,1163.691400026437,4.63286056545853,late,1.0463286056545853,0.03
n150000-w512-m1000,150000,512,1.0,1555,1192.3147999914363,1265.07359999232,-5.751349170619424,early,1.0610231459019097,0.03
n200000-w128-m0900,200000,128,0.9,1111,615.7043999992311,646.1645000381395,-4.713985376341556,early,1.0494719544621518,0.03
n200000-w128-m0900,200000,128,0.9,1222,585.3667999617755,642.7731000003405,-8.931036479052178,early,1.098068937360837,0.03
n200000-w128-m0900,200000,128,0.9,1333,580.9774999506772,648.7018000334501,-10.439974126675889,early,1.1165695747055997,0.03
n200000-w128-m0900,200000,128,0.9,1444,548.8410999532789,597.5872999988496,-8.157168006358994,early,1.0888165992847845,0.03
n200000-w128-m0900,200000,128,0.9,1555,573.5377999953926,708.3873000228778,-19.036126144995848,early,1.235118766415341,0.03
n200000-w128-m1000,200000,128,1.0,1111,561.0269000171684,664.3812000402249,-15.556475712557639,early,1.1842234303201749,0.03
n200000-w128-m1000,200000,128,1.0,1222,587.7151000313461,643.8999999663793,-8.725718269601934,early,1.0955988708339066,0.03
n200000-w128-m1000,200000,128,1.0,1333,569.1835000179708,653.7431999458931,-12.934696672167433,early,1.1485631609582017,0.03
n200000-w128-m1000,200000,128,1.0,1444,606.9621999631636,657.3388000251725,-7.663719235815658,early,1.082997919911761,0.03
n200000-w128-m1000,200000,128,1.0,1555,613.0695999599993,666.7168999556452,-8.04648869695892,early,1.0875060515138024,0.03
n200000-w256-m0900,200000,256,0.9,1111,860.9667000127956,914.359999995213,-5.839417732916674,early,1.0620155227625225,0.03
n200000-w256-m0900,200000,256,0.9,1222,1229.9813000136055,1002.2147999843583,22.72631575913686,late,1.2272631575913686,0.03
n200000-w256-m0900,200000,256,0.9,1333,742.0979000162333,795.7509999978356,-6.742448326392081,early,1.0722992208715705,0.03
n200000-w256-m0900,200000,256,0.9,1444,842.3380000167526,938.3297000313178,-10.230060927556838,early,1.1139586484435655,0.03
n200000-w256-m0900,200000,256,0.9,1555,834.396000020206,810.282000049483,2.9760009440232382,tie,1.0297600094402324,0.03
n200000-w256-m1000,200000,256,1.0,1111,946.7632999876514,981.9448000052944,-3.5828388741865447,early,1.037159763182732,0.03
n200000-w256-m1000,200000,256,1.0,1222,839.9290000088513,827.7120999991894,1.4759842232189069,tie,1.014759842232189,0.03
n200000-w256-m1000,200000,256,1.0,1333,802.6528999907896,876.8891000072472,-8.465859595682513,early,1.0924885464405716,0.03
n200000-w256-m1000,200000,256,1.0,1444,852.2406000411138,902.4599000113085,-5.564712622640123,early,1.0589261999108843,0.03
n200000-w256-m1000,200000,256,1.0,1555,806.0540999867953,856.5429000300355,-5.894485850208985,early,1.0626369868276426,0.03
n200000-w512-m0900,200000,512,0.9,1111,1279.487700026948,1267.9803999490105,0.9075298071169247,tie,1.0090752980711692,0.03
n200000-w512-m0900,200000,512,0.9,1222,1330.7344000204466,1287.8247000044212,3.3319519353743,late,1.033319519353743,0.03
n200000-w512-m0900,200000,512,0.9,1333,1255.0521000521258,1299.7935999883339,-3.442200356780467,early,1.0356491176217704,0.03
n200000-w512-m0900,200000,512,0.9,1444,1270.514700037893,1168.8603999791667,8.696872617169515,late,1.0869687261716952,0.03
n200000-w512-m0900,200000,512,0.9,1555,1213.1667000357993,1313.2503000088036,-7.621060507074196,early,1.0824978133425942,0.03
n200000-w512-m1000,200000,512,1.0,1111,1278.5537000163458,1232.4894000194035,3.737500703553076,late,1.0373750070355308,0.03
n200000-w512-m1000,200000,512,1.0,1222,1340.063099982217,1334.5756999915466,0.4111718796247388,tie,1.0041117187962474,0.03
n200000-w512-m1000,200000,512,1.0,1333,1311.401900020428,1346.6897000325844,-2.620336370828602,tie,1.0269084557614312,0.03
n200000-w512-m1000,200000,512,1.0,1444,1194.764900021255,1366.0564000019804,-12.539123566236142,early,1.1433683731231794,0.03
n200000-w512-m1000,200000,512,1.0,1555,1283.7715999921784,1237.7207999816164,3.720612921043731,late,1.0372061292104373,0.03
