scenario_id,unit_id,policy_selectivity,query_selectivity,salt,candidate_id,block_index,order_position,permutation_id,latency_ms,result_digest
p0.002-q0.900,p0.002-q0.900-s6203,0.002,0.9,6203,governed_fact_first,1,1,eligible_dimension_first->governed_fact_first->partial_aggregate_first,2449.1469,c82159b49a599548110cac43c5d732c40854554f97346bc39152d330836302a4
p0.002-q0.900,p0.002-q0.900-s6203,0.002,0.9,6203,partial_aggregate_first,1,2,eligible_dimension_first->governed_fact_first->partial_aggregate_first,2276.562,c82159b49a599548110cac43c5d732c40854554f97346bc39152d330836302a4
p0.002-q0.900,p0.002-q0.900-s6203,0.002,0.9,6203,governed_fact_first,2,0,governed_fact_first->eligible_dimension_first->partial_aggregate_first,2354.9233,c82159b49a599548110cac43c5d732c40854554f97346bc39152d330836302a4
p0.002-q0.900,p0.002-q0.900-s6203,0.002,0.9,6203,eligible_dimension_first,2,1,governed_fact_first->eligible_dimension_first->partial_aggregate_first,4785.3354,c82159b49a599548110cac43c5d732c40854554f97346bc39152d330836302a4
p0.002-q0.900,p0.002-q0.900-s6203,0.002,0.9,6203,partial_aggregate_first,2,2,governed_fact_first->eligible_dimension_first->partial_aggregate_first,2309.3498,c82159b49a599548110cac43c5d732c40854554f97346bc39152d330836302a4
p0.002-q0.900,p0.002-q0.900-s6203,0.002,0.9,6203,partial_aggregate_first,3,0,partial_aggregate_first->governed_fact_first->eligible_dimension_first,2457.4409,c82159b49a599548110cac43c5d732c40854554f97346bc39152d330836302a4
p0.002-q0.900,p0.002-q0.900-s6203,0.002,0.9,6203,governed_fact_first,3,1,partial_aggregate_first->governed_fact_first->eligible_dimension_first,2630.4878,c82159b49a599548110cac43c5d732c40854554f97346bc39152d330836302a4
p0.002-q0.900,p0.002-q0.900-s6203,0.002,0.9,6203,eligible_dimension_first,3,2,partial_aggregate_first->governed_fact_first->eligible_dimension_first,3414.1463,c82159b49a599548110cac43c5d732c40854554f97346bc39152d330836302a4
p0.002-q0.900,p0.002-q0.900-s6203,0.002,0.9,6203,partial_aggregate_first,4,0,partial_aggregate_first->eligible_dimension_first->governed_fact_first,1817.8702,c82159b49a599548110cac43c5d732c40854554f97346bc39152d330836302a4
p0.002-q0.900,p0.002-q0.900-s6203,0.002,0.9,6203,eligible_dimension_first,4,1,partial_aggregate_first->eligible_dimension_first->governed_fact_first,3688.604,c82159b49a599548110cac43c5d732c40854554f97346bc39152d330836302a4
p0.002-q0.900,p0.002-q0.900-s6203,0.002,0.9,6203,governed_fact_first,4,2,partial_aggregate_first->eligible_dimension_first->governed_fact_first,2431.177,c82159b49a599548110cac43c5d732c40854554f97346bc39152d330836302a4
p0.002-q0.900,p0.002-q0.900-s6203,0.002,0.9,6203,governed_fact_first,5,0,governed_fact_first->partial_aggregate_first->eligible_dimension_first,2461.1028,c82159b49a599548110cac43c5d732c40854554f97346bc39152d330836302a4
p0.002-q0.900,p0.002-q0.900-s6203,0.002,0.9,6203,partial_aggregate_first,5,1,governed_fact_first->partial_aggregate_first->eligible_dimension_first,2284.8873,c82159b49a599548110cac43c5d732c40854554f97346bc39152d330836302a4
p0.002-q0.900,p0.002-q0.900-s6203,0.002,0.9,6203,eligible_dimension_first,5,2,governed_fact_first->partial_aggregate_first->eligible_dimension_first,3613.0515,c82159b49a599548110cac43c5d732c40854554f97346bc39152d330836302a4
p0.002-q0.900,p0.002-q0.900-s6301,0.002,0.9,6301,governed_fact_first,0,0,governed_fact_first->eligible_dimension_first->partial_aggregate_first,3108.6816,3f278c2ca74833d8729a1eadbc51824071359eaec0012084c40b19d2dcc1eaf0
p0.002-q0.900,p0.002-q0.900-s6301,0.002,0.9,6301,eligible_dimension_first,0,1,governed_fact_first->eligible_dimension_first->partial_aggregate_first,4113.0194,3f278c2ca74833d8729a1eadbc51824071359eaec0012084c40b19d2dcc1eaf0
p0.002-q0.900,p0.002-q0.900-s6301,0.002,0.9,6301,partial_aggregate_first,0,2,governed_fact_first->eligible_dimension_first->partial_aggregate_first,2590.8314,3f278c2ca74833d8729a1eadbc51824071359eaec0012084c40b19d2dcc1eaf0
p0.002-q0.900,p0.002-q0.900-s6301,0.002,0.9,6301,eligible_dimension_first,1,0,eligible_dimension_first->governed_fact_first->partial_aggregate_first,3583.9524,3f278c2ca74833d8729a1eadbc51824071359eaec0012084c40b19d2dcc1eaf0
p0.002-q0.900,p0.002-q0.900-s6301,0.002,0.9,6301,governed_fact_first,1,1,eligible_dimension_first->governed_fact_first->partial_aggregate_first,2284.1492,3f278c2ca74833d8729a1eadbc51824071359eaec0012084c40b19d2dcc1eaf0
p0.002-q0.900,p0.002-q0.900-s6301,0.002,0.9,6301,partial_aggregate_first,1,2,eligible_dimension_first->governed_fact_first->partial_aggregate_first,2221.6715,3f278c2ca74833d8729a1eadbc51824071359eaec0012084c40b19d2dcc1eaf0
p0.002-q0.900,p0.002-q0.900-s6301,0.002,0.9,6301,governed_fact_first,2,0,governed_fact_first->partial_aggregate_first->eligible_dimension_first,2430.9431,3f278c2ca74833d8729a1eadbc51824071359eaec0012084c40b19d2dcc1eaf0
p0.002-q0.900,p0.002-q0.900-s6301,0.002,0.9,6301,partial_aggregate_first,2,1,governed_fact_first->partial_aggregate_first->eligible_dimension_first,2187.5891,3f278c2ca74833d8729a1eadbc51824071359eaec0012084c40b19d2dcc1eaf0
p0.002-q0.900,p0.002-q0.900-s6301,0.002,0.9,6301,eligible_dimension_first,2,2,governed_fact_first->partial_aggregate_first->eligible_dimension_first,3588.736,3f278c2ca74833d8729a1eadbc51824071359eaec0012084c40b19d2dcc1eaf0
p0.002-q0.900,p0.002-q0.900-s6301,0.002,0.9,6301,partial_aggregate_first,3,0,partial_aggregate_first->eligible_dimension_first->governed_fact_first,2250.7383,3f278c2ca74833d8729a1eadbc51824071359eaec0012084c40b19d2dcc1eaf0
p0.002-q0.900,p0.002-q0.900-s6301,0.002,0.9,6301,eligible_dimension_first,3,1,partial_aggregate_first->eligible_dimension_first->governed_fact_first,3599.7942,3f278c2ca74833d8729a1eadbc51824071359eaec0012084c40b19d2dcc1eaf0
p0.002-q0.900,p0.002-q0.900-s6301,0.002,0.9,6301,governed_fact_first,3,2,partial_aggregate_first->eligible_dimension_first->governed_fact_first,2385.7261,3f278c2ca74833d8729a1eadbc51824071359eaec0012084c40b19d2dcc1eaf0
p0.002-q0.900,p0.002-q0.900-s6301,0.002,0.9,6301,partial_aggregate_first,4,0,partial_aggregate_first->governed_fact_first->eligible_dimension_first,2118.1096,3f278c2ca74833d8729a1eadbc51824071359eaec0012084c40b19d2dcc1eaf0
p0.002-q0.900,p0.002-q0.900-s6301,0.002,0.9,6301,governed_fact_first,4,1,partial_aggregate_first->governed_fact_first->eligible_dimension_first,2511.5541,3f278c2ca74833d8729a1eadbc51824071359eaec0012084c40b19d2dcc1eaf0
p0.002-q0.900,p0.002-q0.900-s6301,0.002,0.9,6301,eligible_dimension_first,4,2,partial_aggregate_first->governed_fact_first->eligible_dimension_first,3748.059,3f278c2ca74833d8729a1eadbc51824071359eaec0012084c40b19d2dcc1eaf0
p0.002-q0.900,p0.002-q0.900-s6301,0.002,0.9,6301,eligible_dimension_first,5,0,eligible_dimension_first->partial_aggregate_first->governed_fact_first,3952.676,3f278c2ca74833d8729a1eadbc51824071359eaec0012084c40b19d2dcc1eaf0
p0.002-q0.900,p0.002-q0.900-s6301,0.002,0.9,6301,partial_aggregate_first,5,1,eligible_dimension_first->partial_aggregate_first->governed_fact_first,2329.9744,3f278c2ca74833d8729a1eadbc51824071359eaec0012084c40b19d2dcc1eaf0
p0.002-q0.900,p0.002-q0.900-s6301,0.002,0.9,6301,governed_fact_first,5,2,eligible_dimension_first->partial_aggregate_first->governed_fact_first,2340.2103,3f278c2ca74833d8729a1eadbc51824071359eaec0012084c40b19d2dcc1eaf0
p0.030-q0.800,p0.030-q0.800-s6101,0.03,0.8,6101,eligible_dimension_first,0,0,eligible_dimension_first->partial_aggregate_first->governed_fact_first,4084.1764,9ac8399524071b95171388b41e31627758b477022e814ec4df3b715a8948c524
p0.030-q0.800,p0.030-q0.800-s6101,0.03,0.8,6101,partial_aggregate_first,0,1,eligible_dimension_first->partial_aggregate_first->governed_fact_first,3510.7069,9ac8399524071b95171388b41e31627758b477022e814ec4df3b715a8948c524
p0.030-q0.800,p0.030-q0.800-s6101,0.03,0.8,6101,governed_fact_first,0,2,eligible_dimension_first->partial_aggregate_first->governed_fact_first,3361.7376,9ac8399524071b95171388b41e31627758b477022e814ec4df3b715a8948c524
p0.030-q0.800,p0.030-q0.800-s6101,0.03,0.8,6101,partial_aggregate_first,1,0,partial_aggregate_first->eligible_dimension_first->governed_fact_first,3662.6543,9ac8399524071b95171388b41e31627758b477022e814ec4df3b715a8948c524
p0.030-q0.800,p0.030-q0.800-s6101,0.03,0.8,6101,eligible_dimension_first,1,1,partial_aggregate_first->eligible_dimension_first->governed_fact_first,5249.1889,9ac8399524071b95171388b41e31627758b477022e814ec4df3b715a8948c524
p0.030-q0.800,p0.030-q0.800-s6101,0.03,0.8,6101,governed_fact_first,1,2,partial_aggregate_first->eligible_dimension_first->governed_fact_first,3507.9989,9ac8399524071b95171388b41e31627758b477022e814ec4df3b715a8948c524
p0.030-q0.800,p0.030-q0.800-s6101,0.03,0.8,6101,eligible_dimension_first,2,0,eligible_dimension_first->governed_fact_first->partial_aggregate_first,4265.4584,9ac8399524071b95171388b41e31627758b477022e814ec4df3b715a8948c524
p0.030-q0.800,p0.030-q0.800-s6101,0.03,0.8,6101,governed_fact_first,2,1,eligible_dimension_first->governed_fact_first->partial_aggregate_first,3763.5351,9ac8399524071b95171388b41e31627758b477022e814ec4df3b715a8948c524
p0.030-q0.800,p0.030-q0.800-s6101,0.03,0.8,6101,partial_aggregate_first,2,2,eligible_dimension_first->governed_fact_first->partial_aggregate_first,4609.5892,9ac8399524071b95171388b41e31627758b477022e814ec4df3b715a8948c524
p0.030-q0.800,p0.030-q0.800-s6101,0.03,0.8,6101,governed_fact_first,3,0,governed_fact_first->eligible_dimension_first->partial_aggregate_first,4379.6661,9ac8399524071b95171388b41e31627758b477022e814ec4df3b715a8948c524
