benchmark,commit_hash,component,identifier_width,latency_ms,logical_payload_bytes,match_rate,matched_rows,order_position,physical_plan_fingerprint,repeat_index,result_digest,row_count,run_id,seed,unit_id
mask_fragment,d3d72da0ae30b01a83d11b5d681d7d53d108d49e,late_mask_fragment,64,4.655099997762591,128000,0.25,500,1,sha256:7f98a99a1feb732b4b01c020a87da9b6842787ecdc6b846d46bba31c74c54d29,0,sha256:87c23f2c6e6b88ec836a3df10c3250259ae80aab5550ed399da4896245df3f77,2000,20260717T120120419177Z,707,mask_fragment-n2000-w64-m0250-s707
mask_fragment,d3d72da0ae30b01a83d11b5d681d7d53d108d49e,late_mask_fragment,64,4.538999986834824,128000,0.25,500,0,sha256:7f98a99a1feb732b4b01c020a87da9b6842787ecdc6b846d46bba31c74c54d29,1,sha256:87c23f2c6e6b88ec836a3df10c3250259ae80aab5550ed399da4896245df3f77,2000,20260717T120120419177Z,707,mask_fragment-n2000-w64-m0250-s707
mask_fragment,d3d72da0ae30b01a83d11b5d681d7d53d108d49e,early_mask_fragment,64,7.322699995711446,128000,0.25,500,1,sha256:1a43e0ddf8cc02438cc76d27ba1cce86da34109d2e43dcc8ed7c9d581b95b39d,1,sha256:87c23f2c6e6b88ec836a3df10c3250259ae80aab5550ed399da4896245df3f77,2000,20260717T120120419177Z,707,mask_fragment-n2000-w64-m0250-s707
mask_fragment,d3d72da0ae30b01a83d11b5d681d7d53d108d49e,early_mask_fragment,64,10.1442999439314,128000,0.25,500,0,sha256:1a43e0ddf8cc02438cc76d27ba1cce86da34109d2e43dcc8ed7c9d581b95b39d,2,sha256:87c23f2c6e6b88ec836a3df10c3250259ae80aab5550ed399da4896245df3f77,2000,20260717T120120419177Z,707,mask_fragment-n2000-w64-m0250-s707
mask_fragment,d3d72da0ae30b01a83d11b5d681d7d53d108d49e,late_mask_fragment,64,4.078300029505044,128000,0.25,500,1,sha256:7f98a99a1feb732b4b01c020a87da9b6842787ecdc6b846d46bba31c74c54d29,2,sha256:87c23f2c6e6b88ec836a3df10c3250259ae80aab5550ed399da4896245df3f77,2000,20260717T120120419177Z,707,mask_fragment-n2000-w64-m0250-s707
mask_fragment,d3d72da0ae30b01a83d11b5d681d7d53d108d49e,late_mask_fragment,64,8.17699998151511,128000,0.75,1500,0,sha256:7f98a99a1feb732b4b01c020a87da9b6842787ecdc6b846d46bba31c74c54d29,0,sha256:661aa9b104466c7a9c73081e019fb21f9aedaa09b8e77f32d0c734192c92e666,2000,20260717T120120419177Z,707,mask_fragment-n2000-w64-m0750-s707
mask_fragment,d3d72da0ae30b01a83d11b5d681d7d53d108d49e,early_mask_fragment,64,8.395400014705956,128000,0.75,1500,1,sha256:1a43e0ddf8cc02438cc76d27ba1cce86da34109d2e43dcc8ed7c9d581b95b39d,0,sha256:661aa9b104466c7a9c73081e019fb21f9aedaa09b8e77f32d0c734192c92e666,2000,20260717T120120419177Z,707,mask_fragment-n2000-w64-m0750-s707
mask_fragment,d3d72da0ae30b01a83d11b5d681d7d53d108d49e,early_mask_fragment,64,8.932300028391182,128000,0.75,1500,0,sha256:1a43e0ddf8cc02438cc76d27ba1cce86da34109d2e43dcc8ed7c9d581b95b39d,1,sha256:661aa9b104466c7a9c73081e019fb21f9aedaa09b8e77f32d0c734192c92e666,2000,20260717T120120419177Z,707,mask_fragment-n2000-w64-m0750-s707
mask_fragment,d3d72da0ae30b01a83d11b5d681d7d53d108d49e,late_mask_fragment,64,24.410100013483316,128000,0.75,1500,1,sha256:7f98a99a1feb732b4b01c020a87da9b6842787ecdc6b846d46bba31c74c54d29,1,sha256:661aa9b104466c7a9c73081e019fb21f9aedaa09b8e77f32d0c734192c92e666,2000,20260717T120120419177Z,707,mask_fragment-n2000-w64-m0750-s707
mask_fragment,d3d72da0ae30b01a83d11b5d681d7d53d108d49e,late_mask_fragment,64,8.814300002995878,128000,0.75,1500,0,sha256:7f98a99a1feb732b4b01c020a87da9b6842787ecdc6b846d46bba31c74c54d29,2,sha256:661aa9b104466c7a9c73081e019fb21f9aedaa09b8e77f32d0c734192c92e666,2000,20260717T120120419177Z,707,mask_fragment-n2000-w64-m0750-s707
mask_fragment,d3d72da0ae30b01a83d11b5d681d7d53d108d49e,early_mask_fragment,64,9.172999998554587,128000,0.75,1500,1,sha256:1a43e0ddf8cc02438cc76d27ba1cce86da34109d2e43dcc8ed7c9d581b95b39d,2,sha256:661aa9b104466c7a9c73081e019fb21f9aedaa09b8e77f32d0c734192c92e666,2000,20260717T120120419177Z,707,mask_fragment-n2000-w64-m0750-s707
