unit_id,benchmark,identifier_width,match_rate,row_count,seed,matched_rows,component,operator_index,operator_name,profile_runs,median_operator_timing_ms,p95_operator_timing_ms,min_operator_timing_ms,max_operator_timing_ms,actual_cardinality,rows_scanned,physical_plan_fingerprint
mask_fragment-n2000-w512-m0250-s707,mask_fragment,512,0.25,2000,707,500,late_mask_fragment,7,SEQ_SCAN,2,0.4265,0.7789,0.0741,0.7789,500,2000,sha256:7f98a99a1feb732b4b01c020a87da9b6842787ecdc6b846d46bba31c74c54d29
mask_fragment-n2000-w512-m0250-s707,mask_fragment,512,0.25,2000,707,500,late_mask_fragment,8,SEQ_SCAN,2,0.047099999999999996,0.0715,0.022699999999999998,0.0715,2000,2000,sha256:7f98a99a1feb732b4b01c020a87da9b6842787ecdc6b846d46bba31c74c54d29
mask_fragment-n2000-w512-m0750-s707,mask_fragment,512,0.75,2000,707,1500,early_mask_fragment,0,EXPLAIN_ANALYZE,2,0.00019999999999999998,0.00019999999999999998,0.00019999999999999998,0.00019999999999999998,0,0,sha256:1a43e0ddf8cc02438cc76d27ba1cce86da34109d2e43dcc8ed7c9d581b95b39d
mask_fragment-n2000-w512-m0750-s707,mask_fragment,512,0.75,2000,707,1500,early_mask_fragment,1,BATCH_CREATE_TABLE_AS,2,0.30190000000000006,0.32670000000000005,0.2771,0.32670000000000005,1,0,sha256:1a43e0ddf8cc02438cc76d27ba1cce86da34109d2e43dcc8ed7c9d581b95b39d
mask_fragment-n2000-w512-m0750-s707,mask_fragment,512,0.75,2000,707,1500,early_mask_fragment,2,CTE,2,0.10175000000000001,0.11270000000000001,0.09079999999999999,0.11270000000000001,0,0,sha256:1a43e0ddf8cc02438cc76d27ba1cce86da34109d2e43dcc8ed7c9d581b95b39d
mask_fragment-n2000-w512-m0750-s707,mask_fragment,512,0.75,2000,707,1500,early_mask_fragment,3,PROJECTION,2,15.929649999999999,18.4974,13.3619,18.4974,2000,0,sha256:1a43e0ddf8cc02438cc76d27ba1cce86da34109d2e43dcc8ed7c9d581b95b39d
mask_fragment-n2000-w512-m0750-s707,mask_fragment,512,0.75,2000,707,1500,early_mask_fragment,4,SEQ_SCAN,2,0.09609999999999999,0.1006,0.0916,0.1006,2000,2000,sha256:1a43e0ddf8cc02438cc76d27ba1cce86da34109d2e43dcc8ed7c9d581b95b39d
mask_fragment-n2000-w512-m0750-s707,mask_fragment,512,0.75,2000,707,1500,early_mask_fragment,5,PROJECTION,2,0.00475,0.0053,0.0042,0.0053,1500,0,sha256:1a43e0ddf8cc02438cc76d27ba1cce86da34109d2e43dcc8ed7c9d581b95b39d
mask_fragment-n2000-w512-m0750-s707,mask_fragment,512,0.75,2000,707,1500,early_mask_fragment,6,ORDER_BY,2,0.72525,0.7575999999999999,0.6929,0.7575999999999999,1500,0,sha256:1a43e0ddf8cc02438cc76d27ba1cce86da34109d2e43dcc8ed7c9d581b95b39d
mask_fragment-n2000-w512-m0750-s707,mask_fragment,512,0.75,2000,707,1500,early_mask_fragment,7,PROJECTION,2,0.0049,0.0056,0.0042,0.0056,1500,0,sha256:1a43e0ddf8cc02438cc76d27ba1cce86da34109d2e43dcc8ed7c9d581b95b39d
mask_fragment-n2000-w512-m0750-s707,mask_fragment,512,0.75,2000,707,1500,early_mask_fragment,8,HASH_JOIN,2,0.58945,0.6447,0.5342,0.6447,1500,0,sha256:1a43e0ddf8cc02438cc76d27ba1cce86da34109d2e43dcc8ed7c9d581b95b39d
mask_fragment-n2000-w512-m0750-s707,mask_fragment,512,0.75,2000,707,1500,early_mask_fragment,9,CTE_SCAN,2,0.0058,0.0069,0.0047,0.0069,2000,0,sha256:1a43e0ddf8cc02438cc76d27ba1cce86da34109d2e43dcc8ed7c9d581b95b39d
mask_fragment-n2000-w512-m0750-s707,mask_fragment,512,0.75,2000,707,1500,early_mask_fragment,10,SEQ_SCAN,2,0.0085,0.0096,0.0074,0.0096,2000,2000,sha256:1a43e0ddf8cc02438cc76d27ba1cce86da34109d2e43dcc8ed7c9d581b95b39d
