commit_hash,identifier_width,latency_ms,match_rate,matched_rows,order_position,physical_plan_fingerprint,region_label,repeat_index,result_digest,row_count,run_id,scenario_id,seed,variant
92d2811fd3360a0e31cf1105104a2dbf691c0beb,128,257.9227000242099,0.9,90000,0,sha256:26c7beb699842444e252d17ec55e88fce7462da77b086dbbfc8863980d091221,phase2l_mixed,4,sha256:daa42bebcc1f51e60f45e764a203d050936da0c59b67b9f270d6dd6546f9bd86,100000,20260718T024708217922Z,mixed-n100000-w128-m0900-s1777,1777,late_join_materialized
92d2811fd3360a0e31cf1105104a2dbf691c0beb,128,297.41009999997914,0.9,90000,1,sha256:8c775ff611abc16d74d7b882b9f184805f1ebab78a726a672f21ac5ab0810c9f,phase2l_mixed,4,sha256:daa42bebcc1f51e60f45e764a203d050936da0c59b67b9f270d6dd6546f9bd86,100000,20260718T024708217922Z,mixed-n100000-w128-m0900-s1777,1777,late_hash_materialized
92d2811fd3360a0e31cf1105104a2dbf691c0beb,128,332.4905000044964,0.9,90000,2,sha256:aaa00b3bd44c8b4eac45d7e7d997fa62366f1bf46f339190d03cee33407583a0,phase2l_mixed,4,sha256:daa42bebcc1f51e60f45e764a203d050936da0c59b67b9f270d6dd6546f9bd86,100000,20260718T024708217922Z,mixed-n100000-w128-m0900-s1777,1777,early_hash_materialized
92d2811fd3360a0e31cf1105104a2dbf691c0beb,128,1001.4846000121906,0.9,90000,3,sha256:f570cbbf354e04dbc1f358979321f6943968e8a815c0d2fb74a463dc822156e7,phase2l_mixed,4,sha256:daa42bebcc1f51e60f45e764a203d050936da0c59b67b9f270d6dd6546f9bd86,100000,20260718T024708217922Z,mixed-n100000-w128-m0900-s1777,1777,late_fused
92d2811fd3360a0e31cf1105104a2dbf691c0beb,128,342.96319994609803,0.9,90000,0,sha256:8c775ff611abc16d74d7b882b9f184805f1ebab78a726a672f21ac5ab0810c9f,phase2l_mixed,5,sha256:daa42bebcc1f51e60f45e764a203d050936da0c59b67b9f270d6dd6546f9bd86,100000,20260718T024708217922Z,mixed-n100000-w128-m0900-s1777,1777,late_hash_materialized
92d2811fd3360a0e31cf1105104a2dbf691c0beb,128,445.8825000328943,0.9,90000,1,sha256:aaa00b3bd44c8b4eac45d7e7d997fa62366f1bf46f339190d03cee33407583a0,phase2l_mixed,5,sha256:daa42bebcc1f51e60f45e764a203d050936da0c59b67b9f270d6dd6546f9bd86,100000,20260718T024708217922Z,mixed-n100000-w128-m0900-s1777,1777,early_hash_materialized
92d2811fd3360a0e31cf1105104a2dbf691c0beb,128,450.2252000384033,0.9,90000,2,sha256:f570cbbf354e04dbc1f358979321f6943968e8a815c0d2fb74a463dc822156e7,phase2l_mixed,5,sha256:daa42bebcc1f51e60f45e764a203d050936da0c59b67b9f270d6dd6546f9bd86,100000,20260718T024708217922Z,mixed-n100000-w128-m0900-s1777,1777,late_fused
92d2811fd3360a0e31cf1105104a2dbf691c0beb,128,265.1811999967322,0.9,90000,3,sha256:26c7beb699842444e252d17ec55e88fce7462da77b086dbbfc8863980d091221,phase2l_mixed,5,sha256:daa42bebcc1f51e60f45e764a203d050936da0c59b67b9f270d6dd6546f9bd86,100000,20260718T024708217922Z,mixed-n100000-w128-m0900-s1777,1777,late_join_materialized
92d2811fd3360a0e31cf1105104a2dbf691c0beb,128,523.8926999736577,0.9,90000,0,sha256:aaa00b3bd44c8b4eac45d7e7d997fa62366f1bf46f339190d03cee33407583a0,phase2l_mixed,6,sha256:daa42bebcc1f51e60f45e764a203d050936da0c59b67b9f270d6dd6546f9bd86,100000,20260718T024708217922Z,mixed-n100000-w128-m0900-s1777,1777,early_hash_materialized
92d2811fd3360a0e31cf1105104a2dbf691c0beb,128,500.5842999671586,0.9,90000,1,sha256:f570cbbf354e04dbc1f358979321f6943968e8a815c0d2fb74a463dc822156e7,phase2l_mixed,6,sha256:daa42bebcc1f51e60f45e764a203d050936da0c59b67b9f270d6dd6546f9bd86,100000,20260718T024708217922Z,mixed-n100000-w128-m0900-s1777,1777,late_fused
92d2811fd3360a0e31cf1105104a2dbf691c0beb,128,249.60770003963262,0.9,90000,2,sha256:26c7beb699842444e252d17ec55e88fce7462da77b086dbbfc8863980d091221,phase2l_mixed,6,sha256:daa42bebcc1f51e60f45e764a203d050936da0c59b67b9f270d6dd6546f9bd86,100000,20260718T024708217922Z,mixed-n100000-w128-m0900-s1777,1777,late_join_materialized
92d2811fd3360a0e31cf1105104a2dbf691c0beb,128,375.73640001937747,0.9,90000,3,sha256:8c775ff611abc16d74d7b882b9f184805f1ebab78a726a672f21ac5ab0810c9f,phase2l_mixed,6,sha256:daa42bebcc1f51e60f45e764a203d050936da0c59b67b9f270d6dd6546f9bd86,100000,20260718T024708217922Z,mixed-n100000-w128-m0900-s1777,1777,late_hash_materialized
92d2811fd3360a0e31cf1105104a2dbf691c0beb,128,480.34489998826757,0.9,90000,0,sha256:f570cbbf354e04dbc1f358979321f6943968e8a815c0d2fb74a463dc822156e7,phase2l_mixed,7,sha256:daa42bebcc1f51e60f45e764a203d050936da0c59b67b9f270d6dd6546f9bd86,100000,20260718T024708217922Z,mixed-n100000-w128-m0900-s1777,1777,late_fused
92d2811fd3360a0e31cf1105104a2dbf691c0beb,128,283.7582000065595,0.9,90000,1,sha256:26c7beb699842444e252d17ec55e88fce7462da77b086dbbfc8863980d091221,phase2l_mixed,7,sha256:daa42bebcc1f51e60f45e764a203d050936da0c59b67b9f270d6dd6546f9bd86,100000,20260718T024708217922Z,mixed-n100000-w128-m0900-s1777,1777,late_join_materialized
92d2811fd3360a0e31cf1105104a2dbf691c0beb,128,325.8421999635175,0.9,90000,2,sha256:8c775ff611abc16d74d7b882b9f184805f1ebab78a726a672f21ac5ab0810c9f,phase2l_mixed,7,sha256:daa42bebcc1f51e60f45e764a203d050936da0c59b67b9f270d6dd6546f9bd86,100000,20260718T024708217922Z,mixed-n100000-w128-m0900-s1777,1777,late_hash_materialized
92d2811fd3360a0e31cf1105104a2dbf691c0beb,128,385.41570003144443,0.9,90000,3,sha256:aaa00b3bd44c8b4eac45d7e7d997fa62366f1bf46f339190d03cee33407583a0,phase2l_mixed,7,sha256:daa42bebcc1f51e60f45e764a203d050936da0c59b67b9f270d6dd6546f9bd86,100000,20260718T024708217922Z,mixed-n100000-w128-m0900-s1777,1777,early_hash_materialized
92d2811fd3360a0e31cf1105104a2dbf691c0beb,128,224.9129000119865,0.9,90000,0,sha256:26c7beb699842444e252d17ec55e88fce7462da77b086dbbfc8863980d091221,phase2l_mixed,8,sha256:daa42bebcc1f51e60f45e764a203d050936da0c59b67b9f270d6dd6546f9bd86,100000,20260718T024708217922Z,mixed-n100000-w128-m0900-s1777,1777,late_join_materialized
