scenario_id,identifier_width,match_rate,region_label,row_count,seed,variant,operator_index,operator_name,median_operator_timing_ms,actual_cardinality,rows_scanned,physical_plan_fingerprint
mixed-n100000-w128-m0900-s1777,128,0.9,phase2l_mixed,100000,1777,late_hash_materialized,3,PROJECTION,333.0441,90000,0,sha256:8c775ff611abc16d74d7b882b9f184805f1ebab78a726a672f21ac5ab0810c9f
mixed-n100000-w128-m0900-s1777,128,0.9,phase2l_mixed,100000,1777,late_hash_materialized,4,HASH_JOIN,1.2691,90000,0,sha256:8c775ff611abc16d74d7b882b9f184805f1ebab78a726a672f21ac5ab0810c9f
mixed-n100000-w128-m0900-s1777,128,0.9,phase2l_mixed,100000,1777,late_hash_materialized,5,SEQ_SCAN,5.519300000000001,90000,100000,sha256:8c775ff611abc16d74d7b882b9f184805f1ebab78a726a672f21ac5ab0810c9f
mixed-n100000-w128-m0900-s1777,128,0.9,phase2l_mixed,100000,1777,late_hash_materialized,6,SEQ_SCAN,0.030199999999999998,10000,10000,sha256:8c775ff611abc16d74d7b882b9f184805f1ebab78a726a672f21ac5ab0810c9f
mixed-n100000-w128-m0900-s1777,128,0.9,phase2l_mixed,100000,1777,late_hash_materialized,7,ORDER_BY,57.74130000000001,90000,0,sha256:8c775ff611abc16d74d7b882b9f184805f1ebab78a726a672f21ac5ab0810c9f
mixed-n100000-w128-m0900-s1777,128,0.9,phase2l_mixed,100000,1777,late_hash_materialized,8,CTE_SCAN,0.2424,90000,0,sha256:8c775ff611abc16d74d7b882b9f184805f1ebab78a726a672f21ac5ab0810c9f
mixed-n100000-w128-m0900-s1777,128,0.9,phase2l_mixed,100000,1777,late_join_materialized,0,EXPLAIN_ANALYZE,0.00019999999999999998,0,0,sha256:26c7beb699842444e252d17ec55e88fce7462da77b086dbbfc8863980d091221
mixed-n100000-w128-m0900-s1777,128,0.9,phase2l_mixed,100000,1777,late_join_materialized,1,BATCH_CREATE_TABLE_AS,15.908299999999997,1,0,sha256:26c7beb699842444e252d17ec55e88fce7462da77b086dbbfc8863980d091221
mixed-n100000-w128-m0900-s1777,128,0.9,phase2l_mixed,100000,1777,late_join_materialized,2,CTE,5.0583,0,0,sha256:26c7beb699842444e252d17ec55e88fce7462da77b086dbbfc8863980d091221
mixed-n100000-w128-m0900-s1777,128,0.9,phase2l_mixed,100000,1777,late_join_materialized,3,HASH_JOIN,0.9536999999999999,90000,0,sha256:26c7beb699842444e252d17ec55e88fce7462da77b086dbbfc8863980d091221
mixed-n100000-w128-m0900-s1777,128,0.9,phase2l_mixed,100000,1777,late_join_materialized,4,SEQ_SCAN,2.7622000000000013,90000,100000,sha256:26c7beb699842444e252d17ec55e88fce7462da77b086dbbfc8863980d091221
mixed-n100000-w128-m0900-s1777,128,0.9,phase2l_mixed,100000,1777,late_join_materialized,5,SEQ_SCAN,0.03459999999999999,10000,10000,sha256:26c7beb699842444e252d17ec55e88fce7462da77b086dbbfc8863980d091221
mixed-n100000-w128-m0900-s1777,128,0.9,phase2l_mixed,100000,1777,late_join_materialized,6,ORDER_BY,91.29030000000002,90000,0,sha256:26c7beb699842444e252d17ec55e88fce7462da77b086dbbfc8863980d091221
mixed-n100000-w128-m0900-s1777,128,0.9,phase2l_mixed,100000,1777,late_join_materialized,7,PROJECTION,469.5939,90000,0,sha256:26c7beb699842444e252d17ec55e88fce7462da77b086dbbfc8863980d091221
mixed-n100000-w128-m0900-s1777,128,0.9,phase2l_mixed,100000,1777,late_join_materialized,8,CTE_SCAN,0.6188,90000,0,sha256:26c7beb699842444e252d17ec55e88fce7462da77b086dbbfc8863980d091221
mixed-n100000-w128-m0900-s1888,128,0.9,phase2l_mixed,100000,1888,early_hash_materialized,0,EXPLAIN_ANALYZE,0.00039999999999999996,0,0,sha256:aaa00b3bd44c8b4eac45d7e7d997fa62366f1bf46f339190d03cee33407583a0
