scenario_id,identifier_width,match_rate,region_label,row_count,seed,matched_rows,variant,runs,median_latency_ms,p95_latency_ms,min_latency_ms,max_latency_ms,physical_plan_fingerprint,peak_buffer_memory_bytes,peak_temp_directory_bytes,raw_rows_exposed_to_join,raw_rows_materialized,masked_rows_materialized
mixed-n100000-w128-m0900-s2222,128,0.9,phase2l_mixed,100000,2222,90000,late_hash_materialized,15,328.4346999716945,464.86549999099225,252.61250004405156,464.86549999099225,sha256:8c775ff611abc16d74d7b882b9f184805f1ebab78a726a672f21ac5ab0810c9f,256521216,0,100000,0,90000
mixed-n100000-w128-m0900-s2222,128,0.9,phase2l_mixed,100000,2222,90000,late_join_materialized,15,197.87589996121824,286.61599999759346,163.3352999924682,286.61599999759346,sha256:26c7beb699842444e252d17ec55e88fce7462da77b086dbbfc8863980d091221,256521216,0,100000,90000,0
stable-early-n200000-w128-m1000-s1777,128,1.0,phase2l_stable_early,200000,1777,200000,early_hash_materialized,15,689.2344999941997,920.3793000197038,550.3427000367083,920.3793000197038,sha256:aaa00b3bd44c8b4eac45d7e7d997fa62366f1bf46f339190d03cee33407583a0,237801472,0,0,0,200000
stable-early-n200000-w128-m1000-s1777,128,1.0,phase2l_stable_early,200000,1777,200000,late_fused,15,700.8226999896578,968.775800021831,595.5055000376888,968.775800021831,sha256:646d9ee6b2744682f1817c9d1081dfd325281f05a4a52fc1bd20bcc2c8df1e91,128651264,0,200000,0,0
stable-early-n200000-w128-m1000-s1777,128,1.0,phase2l_stable_early,200000,1777,200000,late_hash_materialized,15,660.3020000038669,861.414999992121,577.1524999872781,861.414999992121,sha256:328909ac7fb179c7d58c77fabdb6f910d863b1850355efc5b96283a10322c2b5,237801472,0,200000,0,200000
stable-early-n200000-w128-m1000-s1777,128,1.0,phase2l_stable_early,200000,1777,200000,late_join_materialized,15,553.1104999827221,712.6091999816708,374.0790000301786,712.6091999816708,sha256:2146efa17423ef7b2b1bf85104eb315ae502fb9f7e752a64678c691decce3cdd,237801472,0,200000,200000,0
stable-early-n200000-w128-m1000-s1888,128,1.0,phase2l_stable_early,200000,1888,200000,early_hash_materialized,15,673.9125000312924,1128.1596000189893,570.4481999855489,1128.1596000189893,sha256:aaa00b3bd44c8b4eac45d7e7d997fa62366f1bf46f339190d03cee33407583a0,241061888,0,0,0,200000
stable-early-n200000-w128-m1000-s1888,128,1.0,phase2l_stable_early,200000,1888,200000,late_fused,15,772.1128000412136,1141.0189000307582,657.1462999563664,1141.0189000307582,sha256:646d9ee6b2744682f1817c9d1081dfd325281f05a4a52fc1bd20bcc2c8df1e91,237801472,0,200000,0,0
stable-early-n200000-w128-m1000-s1888,128,1.0,phase2l_stable_early,200000,1888,200000,late_hash_materialized,15,636.5016000345349,848.6798999947496,570.6060000229627,848.6798999947496,sha256:328909ac7fb179c7d58c77fabdb6f910d863b1850355efc5b96283a10322c2b5,241061888,0,200000,0,200000
stable-early-n200000-w128-m1000-s1888,128,1.0,phase2l_stable_early,200000,1888,200000,late_join_materialized,15,469.9742999509908,575.7505999645218,371.7622000258416,575.7505999645218,sha256:2146efa17423ef7b2b1bf85104eb315ae502fb9f7e752a64678c691decce3cdd,241061888,0,200000,200000,0
stable-early-n200000-w128-m1000-s1999,128,1.0,phase2l_stable_early,200000,1999,200000,early_hash_materialized,15,526.9789999583736,1992.0252000447363,465.0050000054762,1992.0252000447363,sha256:aaa00b3bd44c8b4eac45d7e7d997fa62366f1bf46f339190d03cee33407583a0,241061888,0,0,0,200000
stable-early-n200000-w128-m1000-s1999,128,1.0,phase2l_stable_early,200000,1999,200000,late_fused,15,638.3055999758653,1027.5894000078551,497.3362000309862,1027.5894000078551,sha256:646d9ee6b2744682f1817c9d1081dfd325281f05a4a52fc1bd20bcc2c8df1e91,241061888,0,200000,0,0
stable-early-n200000-w128-m1000-s1999,128,1.0,phase2l_stable_early,200000,1999,200000,late_hash_materialized,15,525.1362000126392,913.9747000299394,446.545300015714,913.9747000299394,sha256:328909ac7fb179c7d58c77fabdb6f910d863b1850355efc5b96283a10322c2b5,241061888,0,200000,0,200000
stable-early-n200000-w128-m1000-s1999,128,1.0,phase2l_stable_early,200000,1999,200000,late_join_materialized,15,470.1046999543905,580.046399962157,338.33669999148697,580.046399962157,sha256:2146efa17423ef7b2b1bf85104eb315ae502fb9f7e752a64678c691decce3cdd,241061888,0,200000,200000,0
stable-early-n200000-w128-m1000-s2111,128,1.0,phase2l_stable_early,200000,2111,200000,early_hash_materialized,15,508.9532000129111,907.7407000004314,434.1759000089951,907.7407000004314,sha256:aaa00b3bd44c8b4eac45d7e7d997fa62366f1bf46f339190d03cee33407583a0,241164288,0,0,0,200000
stable-early-n200000-w128-m1000-s2111,128,1.0,phase2l_stable_early,200000,2111,200000,late_fused,15,569.9931000126526,1072.8456999640912,487.9752000560984,1072.8456999640912,sha256:646d9ee6b2744682f1817c9d1081dfd325281f05a4a52fc1bd20bcc2c8df1e91,241061888,0,200000,0,0
stable-early-n200000-w128-m1000-s2111,128,1.0,phase2l_stable_early,200000,2111,200000,late_hash_materialized,15,564.7793999523856,954.9513999954797,435.3461000137031,954.9513999954797,sha256:328909ac7fb179c7d58c77fabdb6f910d863b1850355efc5b96283a10322c2b5,241164288,0,200000,0,200000
stable-early-n200000-w128-m1000-s2111,128,1.0,phase2l_stable_early,200000,2111,200000,late_join_materialized,15,434.26190002355725,788.2345999823883,346.27669997280464,788.2345999823883,sha256:2146efa17423ef7b2b1bf85104eb315ae502fb9f7e752a64678c691decce3cdd,241164288,0,200000,200000,0
stable-early-n200000-w128-m1000-s2222,128,1.0,phase2l_stable_early,200000,2222,200000,early_hash_materialized,15,567.1236999914981,954.441100009717,439.74190001608804,954.441100009717,sha256:aaa00b3bd44c8b4eac45d7e7d997fa62366f1bf46f339190d03cee33407583a0,241164288,0,0,0,200000
stable-early-n200000-w128-m1000-s2222,128,1.0,phase2l_stable_early,200000,2222,200000,late_fused,15,686.1495000193827,1009.7152999951504,484.3105999752879,1009.7152999951504,sha256:646d9ee6b2744682f1817c9d1081dfd325281f05a4a52fc1bd20bcc2c8df1e91,241164288,0,200000,0,0
stable-early-n200000-w128-m1000-s2222,128,1.0,phase2l_stable_early,200000,2222,200000,late_hash_materialized,15,612.3334000003524,1872.5130000384524,472.76010003406554,1872.5130000384524,sha256:328909ac7fb179c7d58c77fabdb6f910d863b1850355efc5b96283a10322c2b5,241164288,0,200000,0,200000
stable-early-n200000-w128-m1000-s2222,128,1.0,phase2l_stable_early,200000,2222,200000,late_join_materialized,15,445.87540003703907,670.0601999764331,301.9402000354603,670.0601999764331,sha256:2146efa17423ef7b2b1bf85104eb315ae502fb9f7e752a64678c691decce3cdd,241164288,0,200000,200000,0
stable-late-n100000-w512-m0900-s1777,512,0.9,phase2l_stable_late,100000,1777,90000,early_hash_materialized,15,791.6114000254311,1132.5264000333846,647.4777999683283,1132.5264000333846,sha256:aaa00b3bd44c8b4eac45d7e7d997fa62366f1bf46f339190d03cee33407583a0,255226880,0,0,0,100000
stable-late-n100000-w512-m0900-s1777,512,0.9,phase2l_stable_late,100000,1777,90000,late_fused,15,691.6022999794222,916.46259999834,611.9754000101238,916.46259999834,sha256:f570cbbf354e04dbc1f358979321f6943968e8a815c0d2fb74a463dc822156e7,241164288,0,100000,0,0
stable-late-n100000-w512-m0900-s1777,512,0.9,phase2l_stable_late,100000,1777,90000,late_hash_materialized,15,649.6472000144422,954.4252000050619,587.0262000244111,954.4252000050619,sha256:8c775ff611abc16d74d7b882b9f184805f1ebab78a726a672f21ac5ab0810c9f,255226880,0,100000,0,90000
stable-late-n100000-w512-m0900-s1777,512,0.9,phase2l_stable_late,100000,1777,90000,late_join_materialized,15,355.58380000293255,508.6165000102483,295.1306999893859,508.6165000102483,sha256:26c7beb699842444e252d17ec55e88fce7462da77b086dbbfc8863980d091221,255226880,0,100000,90000,0
stable-late-n100000-w512-m0900-s1888,512,0.9,phase2l_stable_late,100000,1888,90000,early_hash_materialized,15,965.1985000236891,1559.997700038366,685.0777000072412,1559.997700038366,sha256:aaa00b3bd44c8b4eac45d7e7d997fa62366f1bf46f339190d03cee33407583a0,256521216,0,0,0,100000
stable-late-n100000-w512-m0900-s1888,512,0.9,phase2l_stable_late,100000,1888,90000,late_fused,15,886.6438000113703,1434.2689999612048,625.1405000220984,1434.2689999612048,sha256:f570cbbf354e04dbc1f358979321f6943968e8a815c0d2fb74a463dc822156e7,255226880,0,100000,0,0
stable-late-n100000-w512-m0900-s1888,512,0.9,phase2l_stable_late,100000,1888,90000,late_hash_materialized,15,864.0240000095218,1243.9957999740727,603.7528000306338,1243.9957999740727,sha256:8c775ff611abc16d74d7b882b9f184805f1ebab78a726a672f21ac5ab0810c9f,256521216,0,100000,0,90000
stable-late-n100000-w512-m0900-s1888,512,0.9,phase2l_stable_late,100000,1888,90000,late_join_materialized,15,415.88500002399087,765.8992999931797,305.0615999964066,765.8992999931797,sha256:26c7beb699842444e252d17ec55e88fce7462da77b086dbbfc8863980d091221,256521216,0,100000,90000,0
stable-late-n100000-w512-m0900-s1999,512,0.9,phase2l_stable_late,100000,1999,90000,early_hash_materialized,15,742.0939999865368,1109.0499999700114,514.9639000301249,1109.0499999700114,sha256:aaa00b3bd44c8b4eac45d7e7d997fa62366f1bf46f339190d03cee33407583a0,256521216,0,0,0,100000
stable-late-n100000-w512-m0900-s1999,512,0.9,phase2l_stable_late,100000,1999,90000,late_fused,15,695.1938000274822,970.9176999749616,492.5224000471644,970.9176999749616,sha256:f570cbbf354e04dbc1f358979321f6943968e8a815c0d2fb74a463dc822156e7,256521216,0,100000,0,0
stable-late-n100000-w512-m0900-s1999,512,0.9,phase2l_stable_late,100000,1999,90000,late_hash_materialized,15,682.4573000194505,1104.3864999664947,456.94050000747666,1104.3864999664947,sha256:8c775ff611abc16d74d7b882b9f184805f1ebab78a726a672f21ac5ab0810c9f,256521216,0,100000,0,90000
stable-late-n100000-w512-m0900-s1999,512,0.9,phase2l_stable_late,100000,1999,90000,late_join_materialized,15,350.7695000153035,548.4993000281975,234.94579998077825,548.4993000281975,sha256:26c7beb699842444e252d17ec55e88fce7462da77b086dbbfc8863980d091221,256521216,0,100000,90000,0
stable-late-n100000-w512-m0900-s2111,512,0.9,phase2l_stable_late,100000,2111,90000,early_hash_materialized,15,618.5952000087127,1025.8587999851443,477.7833999833092,1025.8587999851443,sha256:aaa00b3bd44c8b4eac45d7e7d997fa62366f1bf46f339190d03cee33407583a0,256521216,0,0,0,100000
stable-late-n100000-w512-m0900-s2111,512,0.9,phase2l_stable_late,100000,2111,90000,late_fused,15,499.06810000538826,929.5285000116564,464.02740001212806,929.5285000116564,sha256:f570cbbf354e04dbc1f358979321f6943968e8a815c0d2fb74a463dc822156e7,256521216,0,100000,0,0
stable-late-n100000-w512-m0900-s2111,512,0.9,phase2l_stable_late,100000,2111,90000,late_hash_materialized,15,495.7072000252083,963.2907999912277,451.6499000019394,963.2907999912277,sha256:8c775ff611abc16d74d7b882b9f184805f1ebab78a726a672f21ac5ab0810c9f,256521216,0,100000,0,90000
stable-late-n100000-w512-m0900-s2111,512,0.9,phase2l_stable_late,100000,2111,90000,late_join_materialized,15,303.3648999989964,520.8639000193216,238.25619998387992,520.8639000193216,sha256:26c7beb699842444e252d17ec55e88fce7462da77b086dbbfc8863980d091221,256521216,0,100000,90000,0
stable-late-n100000-w512-m0900-s2222,512,0.9,phase2l_stable_late,100000,2222,90000,early_hash_materialized,15,888.2440000306815,1161.1415999941528,699.906199995894,1161.1415999941528,sha256:aaa00b3bd44c8b4eac45d7e7d997fa62366f1bf46f339190d03cee33407583a0,256521216,0,0,0,100000
stable-late-n100000-w512-m0900-s2222,512,0.9,phase2l_stable_late,100000,2222,90000,late_fused,15,775.5556000047363,987.3491000034846,526.2463999679312,987.3491000034846,sha256:f570cbbf354e04dbc1f358979321f6943968e8a815c0d2fb74a463dc822156e7,256521216,0,100000,0,0
stable-late-n100000-w512-m0900-s2222,512,0.9,phase2l_stable_late,100000,2222,90000,late_hash_materialized,15,698.9810999948531,1111.8143000057898,623.6985999858007,1111.8143000057898,sha256:8c775ff611abc16d74d7b882b9f184805f1ebab78a726a672f21ac5ab0810c9f,256521216,0,100000,0,90000
stable-late-n100000-w512-m0900-s2222,512,0.9,phase2l_stable_late,100000,2222,90000,late_join_materialized,15,353.56610000599176,541.1221999675035,287.91920002549887,541.1221999675035,sha256:26c7beb699842444e252d17ec55e88fce7462da77b086dbbfc8863980d091221,256521216,0,100000,90000,0
