unit_id,workload,sample_rows,repeat_index,measurement_block_id,permutation_id,order_position,strategy_id,started_at_utc,client_materialization_latency_ms,process_cpu_time_ms,output_row_count,semantic_result_digest
bts-full-2024-01,bts,547271,5,bts-full-2024-01-block-005,materialize-after-bts-filter -> fused -> materialize-after-gov-002-mask,2,materialize-after-gov-002-mask,2026-07-19T05:21:24.789270+00:00,554.5026,703.125,106251,sha256:16a46f300cbbf11937f6922e35eb1c32021e8b173bfcea0d370d2525f28bdeef
bts-full-2024-01,bts,547271,6,bts-full-2024-01-block-006,materialize-after-gov-002-mask -> materialize-after-bts-filter -> fused,0,materialize-after-gov-002-mask,2026-07-19T05:21:26.322137+00:00,644.5773,671.875,106251,sha256:16a46f300cbbf11937f6922e35eb1c32021e8b173bfcea0d370d2525f28bdeef
bts-full-2024-01,bts,547271,6,bts-full-2024-01-block-006,materialize-after-gov-002-mask -> materialize-after-bts-filter -> fused,1,materialize-after-bts-filter,2026-07-19T05:21:27.879459+00:00,771.9492,890.625,106251,sha256:16a46f300cbbf11937f6922e35eb1c32021e8b173bfcea0d370d2525f28bdeef
bts-full-2024-01,bts,547271,6,bts-full-2024-01-block-006,materialize-after-gov-002-mask -> materialize-after-bts-filter -> fused,2,fused,2026-07-19T05:21:30.055073+00:00,965.877,843.75,106251,sha256:16a46f300cbbf11937f6922e35eb1c32021e8b173bfcea0d370d2525f28bdeef
bts-full-2024-01,bts,547271,7,bts-full-2024-01-block-007,materialize-after-bts-filter -> fused -> materialize-after-gov-002-mask,0,materialize-after-bts-filter,2026-07-19T05:21:32.271722+00:00,822.9582,937.5,106251,sha256:16a46f300cbbf11937f6922e35eb1c32021e8b173bfcea0d370d2525f28bdeef
bts-full-2024-01,bts,547271,7,bts-full-2024-01-block-007,materialize-after-bts-filter -> fused -> materialize-after-gov-002-mask,1,fused,2026-07-19T05:21:34.048761+00:00,643.89,671.875,106251,sha256:16a46f300cbbf11937f6922e35eb1c32021e8b173bfcea0d370d2525f28bdeef
bts-full-2024-01,bts,547271,7,bts-full-2024-01-block-007,materialize-after-bts-filter -> fused -> materialize-after-gov-002-mask,2,materialize-after-gov-002-mask,2026-07-19T05:21:35.881828+00:00,840.9807,906.25,106251,sha256:16a46f300cbbf11937f6922e35eb1c32021e8b173bfcea0d370d2525f28bdeef
bts-full-2024-01,bts,547271,8,bts-full-2024-01-block-008,materialize-after-gov-002-mask -> fused -> materialize-after-bts-filter,0,materialize-after-gov-002-mask,2026-07-19T05:21:37.727859+00:00,651.9926,671.875,106251,sha256:16a46f300cbbf11937f6922e35eb1c32021e8b173bfcea0d370d2525f28bdeef
bts-full-2024-01,bts,547271,8,bts-full-2024-01-block-008,materialize-after-gov-002-mask -> fused -> materialize-after-bts-filter,1,fused,2026-07-19T05:21:39.212598+00:00,604.142,671.875,106251,sha256:16a46f300cbbf11937f6922e35eb1c32021e8b173bfcea0d370d2525f28bdeef
bts-full-2024-01,bts,547271,8,bts-full-2024-01-block-008,materialize-after-gov-002-mask -> fused -> materialize-after-bts-filter,2,materialize-after-bts-filter,2026-07-19T05:21:40.761030+00:00,663.2222,828.125,106251,sha256:16a46f300cbbf11937f6922e35eb1c32021e8b173bfcea0d370d2525f28bdeef
bts-full-2024-01,bts,547271,9,bts-full-2024-01-block-009,fused -> materialize-after-bts-filter -> materialize-after-gov-002-mask,0,fused,2026-07-19T05:21:42.111303+00:00,653.5104,734.375,106251,sha256:16a46f300cbbf11937f6922e35eb1c32021e8b173bfcea0d370d2525f28bdeef
bts-full-2024-01,bts,547271,9,bts-full-2024-01-block-009,fused -> materialize-after-bts-filter -> materialize-after-gov-002-mask,1,materialize-after-bts-filter,2026-07-19T05:21:43.643151+00:00,770.1183,953.125,106251,sha256:16a46f300cbbf11937f6922e35eb1c32021e8b173bfcea0d370d2525f28bdeef
bts-full-2024-01,bts,547271,9,bts-full-2024-01-block-009,fused -> materialize-after-bts-filter -> materialize-after-gov-002-mask,2,materialize-after-gov-002-mask,2026-07-19T05:21:45.277543+00:00,505.1739,578.125,106251,sha256:16a46f300cbbf11937f6922e35eb1c32021e8b173bfcea0d370d2525f28bdeef
bts-full-2024-01,bts,547271,10,bts-full-2024-01-block-010,materialize-after-bts-filter -> materialize-after-gov-002-mask -> fused,0,materialize-after-bts-filter,2026-07-19T05:21:46.565404+00:00,780.7722,921.875,106251,sha256:16a46f300cbbf11937f6922e35eb1c32021e8b173bfcea0d370d2525f28bdeef
bts-full-2024-01,bts,547271,10,bts-full-2024-01-block-010,materialize-after-bts-filter -> materialize-after-gov-002-mask -> fused,1,materialize-after-gov-002-mask,2026-07-19T05:21:48.564004+00:00,865.1293,921.875,106251,sha256:16a46f300cbbf11937f6922e35eb1c32021e8b173bfcea0d370d2525f28bdeef
bts-full-2024-01,bts,547271,10,bts-full-2024-01-block-010,materialize-after-bts-filter -> materialize-after-gov-002-mask -> fused,2,fused,2026-07-19T05:21:50.562715+00:00,813.3982,890.625,106251,sha256:16a46f300cbbf11937f6922e35eb1c32021e8b173bfcea0d370d2525f28bdeef
bts-full-2024-01,bts,547271,11,bts-full-2024-01-block-011,fused -> materialize-after-gov-002-mask -> materialize-after-bts-filter,0,fused,2026-07-19T05:21:52.548456+00:00,931.6795,968.75,106251,sha256:16a46f300cbbf11937f6922e35eb1c32021e8b173bfcea0d370d2525f28bdeef
