row_count,block_index,order_position,order_id,variant,result_digest,total_latency_ms,lineage_capture_latency_ms,lineage_verification_latency_ms,lineage_edge_count,lineage_artifact_bytes,lineage_edge_digest,lineage_verified
1000000,11,0,direct_query->record_lineage,direct_query,sha256:d97ac3a49c95878d6997a449fc1f730030899b2437336a4b2bc948fb9392e67b,3329.133700000966,0.0,0.0,0,0,,False
1000000,11,1,direct_query->record_lineage,record_lineage,sha256:d97ac3a49c95878d6997a449fc1f730030899b2437336a4b2bc948fb9392e67b,6846.928699998898,6508.511700001691,5744.812099999763,1000000,32000462,sha256:73d483e22e78a38c281af69ad79435d5c00da66530b5a316ddd04c6d018998d7,True
1000000,12,0,record_lineage->direct_query,record_lineage,sha256:d97ac3a49c95878d6997a449fc1f730030899b2437336a4b2bc948fb9392e67b,6484.186800000316,6206.431200000225,6103.14180000023,1000000,32000462,sha256:73d483e22e78a38c281af69ad79435d5c00da66530b5a316ddd04c6d018998d7,True
1000000,12,1,record_lineage->direct_query,direct_query,sha256:d97ac3a49c95878d6997a449fc1f730030899b2437336a4b2bc948fb9392e67b,4215.759200000321,0.0,0.0,0,0,,False
1000000,13,0,record_lineage->direct_query,record_lineage,sha256:d97ac3a49c95878d6997a449fc1f730030899b2437336a4b2bc948fb9392e67b,6490.9502000009525,6237.407399999938,5738.254600000801,1000000,32000462,sha256:73d483e22e78a38c281af69ad79435d5c00da66530b5a316ddd04c6d018998d7,True
1000000,13,1,record_lineage->direct_query,direct_query,sha256:d97ac3a49c95878d6997a449fc1f730030899b2437336a4b2bc948fb9392e67b,2908.092100000431,0.0,0.0,0,0,,False
1000000,14,0,direct_query->record_lineage,direct_query,sha256:d97ac3a49c95878d6997a449fc1f730030899b2437336a4b2bc948fb9392e67b,2324.9843000012334,0.0,0.0,0,0,,False
1000000,14,1,direct_query->record_lineage,record_lineage,sha256:d97ac3a49c95878d6997a449fc1f730030899b2437336a4b2bc948fb9392e67b,4682.620300000053,4484.07749999933,4207.745399999112,1000000,32000462,sha256:73d483e22e78a38c281af69ad79435d5c00da66530b5a316ddd04c6d018998d7,True
1000000,15,0,record_lineage->direct_query,record_lineage,sha256:d97ac3a49c95878d6997a449fc1f730030899b2437336a4b2bc948fb9392e67b,4737.323699999251,4535.954399998445,4246.555200001239,1000000,32000462,sha256:73d483e22e78a38c281af69ad79435d5c00da66530b5a316ddd04c6d018998d7,True
1000000,15,1,record_lineage->direct_query,direct_query,sha256:d97ac3a49c95878d6997a449fc1f730030899b2437336a4b2bc948fb9392e67b,2354.804000000513,0.0,0.0,0,0,,False
1000000,16,0,direct_query->record_lineage,direct_query,sha256:d97ac3a49c95878d6997a449fc1f730030899b2437336a4b2bc948fb9392e67b,2258.834799999022,0.0,0.0,0,0,,False
1000000,16,1,direct_query->record_lineage,record_lineage,sha256:d97ac3a49c95878d6997a449fc1f730030899b2437336a4b2bc948fb9392e67b,4623.83520000003,4441.658300000199,4325.135200000659,1000000,32000462,sha256:73d483e22e78a38c281af69ad79435d5c00da66530b5a316ddd04c6d018998d7,True
1000000,17,0,record_lineage->direct_query,record_lineage,sha256:d97ac3a49c95878d6997a449fc1f730030899b2437336a4b2bc948fb9392e67b,4849.9260999997205,4677.12229999961,4450.3733000001375,1000000,32000462,sha256:73d483e22e78a38c281af69ad79435d5c00da66530b5a316ddd04c6d018998d7,True
1000000,17,1,record_lineage->direct_query,direct_query,sha256:d97ac3a49c95878d6997a449fc1f730030899b2437336a4b2bc948fb9392e67b,2325.103199998921,0.0,0.0,0,0,,False
1000000,18,0,record_lineage->direct_query,record_lineage,sha256:d97ac3a49c95878d6997a449fc1f730030899b2437336a4b2bc948fb9392e67b,4750.880800000232,4580.648199998905,4217.463299999508,1000000,32000462,sha256:73d483e22e78a38c281af69ad79435d5c00da66530b5a316ddd04c6d018998d7,True
1000000,18,1,record_lineage->direct_query,direct_query,sha256:d97ac3a49c95878d6997a449fc1f730030899b2437336a4b2bc948fb9392e67b,2312.849999998434,0.0,0.0,0,0,,False
1000000,19,0,direct_query->record_lineage,direct_query,sha256:d97ac3a49c95878d6997a449fc1f730030899b2437336a4b2bc948fb9392e67b,2322.2108999998454,0.0,0.0,0,0,,False
1000000,19,1,direct_query->record_lineage,record_lineage,sha256:d97ac3a49c95878d6997a449fc1f730030899b2437336a4b2bc948fb9392e67b,4697.608399999808,4531.299999998737,4385.5683999991015,1000000,32000462,sha256:73d483e22e78a38c281af69ad79435d5c00da66530b5a316ddd04c6d018998d7,True
